key,wordnet_id,lemma
n00455173,eng-30-00455173-n,surf casting
n00455173,eng-30-00455173-n,surf fishing
n00456465,eng-30-00456465-n,day game
n00463246,eng-30-00463246-n,athletic game
n00464277,eng-30-00464277-n,tetherball
n00466273,eng-30-00466273-n,professional golf
n00466377,eng-30-00466377-n,round of golf
n00466377,eng-30-00466377-n,round
n00466524,eng-30-00466524-n,medal play
n00466524,eng-30-00466524-n,stroke play
n00466630,eng-30-00466630-n,match play
n00466712,eng-30-00466712-n,miniature golf
n00470554,eng-30-00470554-n,professional football
n00470830,eng-30-00470830-n,hurling
n00474568,eng-30-00474568-n,ball
n00474657,eng-30-00474657-n,professional baseball
n00474881,eng-30-00474881-n,perfect game
n00475014,eng-30-00475014-n,no-hit game
n00475014,eng-30-00475014-n,no-hitter
n00475273,eng-30-00475273-n,two-hitter
n00475273,eng-30-00475273-n,2-hitter
n00475403,eng-30-00475403-n,three-hitter
n00475403,eng-30-00475403-n,3-hitter
n00475535,eng-30-00475535-n,four-hitter
n00475535,eng-30-00475535-n,4-hitter
n00475661,eng-30-00475661-n,five-hitter
n00475661,eng-30-00475661-n,5-hitter
n00475787,eng-30-00475787-n,softball
n00475787,eng-30-00475787-n,softball game
n00476235,eng-30-00476235-n,stickball
n00476235,eng-30-00476235-n,stickball game
n00479076,eng-30-00479076-n,court game
n00479616,eng-30-00479616-n,racquetball
n00480366,eng-30-00480366-n,jai alai
n00480366,eng-30-00480366-n,pelota
n00480508,eng-30-00480508-n,badminton
n00480885,eng-30-00480885-n,battledore
n00480885,eng-30-00480885-n,battledore and shuttlecock
n00481803,eng-30-00481803-n,professional basketball
n00483205,eng-30-00483205-n,professional tennis
n00483409,eng-30-00483409-n,singles
n00483508,eng-30-00483508-n,doubles
n00483605,eng-30-00483605-n,doubles
n00483705,eng-30-00483705-n,royal tennis
n00483705,eng-30-00483705-n,real tennis
n00483705,eng-30-00483705-n,court tennis
n00483848,eng-30-00483848-n,pallone
n01314663,eng-30-01314663-n,critter
n01314781,eng-30-01314781-n,creepy-crawly
n01315213,eng-30-01315213-n,peeper
n01315581,eng-30-01315581-n,poikilotherm
n01315581,eng-30-01315581-n,ectotherm
n01315805,eng-30-01315805-n,range animal
n01316579,eng-30-01316579-n,bottom-feeder
n01316579,eng-30-01316579-n,bottom-dweller
n01316949,eng-30-01316949-n,work animal
n01317813,eng-30-01317813-n,feeder
n01317916,eng-30-01317916-n,feeder
n01318381,eng-30-01318381-n,head
n01319187,eng-30-01319187-n,stunt
n01321456,eng-30-01321456-n,adult
n01321854,eng-30-01321854-n,young mammal
n01323068,eng-30-01323068-n,tiger cub
n01323155,eng-30-01323155-n,kit
n01323261,eng-30-01323261-n,suckling
n01323355,eng-30-01323355-n,sire
n01323493,eng-30-01323493-n,dam
n01323781,eng-30-01323781-n,giant
n01330126,eng-30-01330126-n,adenovirus
n01338685,eng-30-01338685-n,herpes
n01338685,eng-30-01338685-n,herpes virus
n01339336,eng-30-01339336-n,herpes zoster
n01339336,eng-30-01339336-n,herpes zoster virus
n01339801,eng-30-01339801-n,cytomegalovirus
n01339801,eng-30-01339801-n,CMV
n01340014,eng-30-01340014-n,varicella zoster virus
n01340935,eng-30-01340935-n,reovirus
n01342269,eng-30-01342269-n,moneran
n01342269,eng-30-01342269-n,moneron
n01350226,eng-30-01350226-n,Bacillus anthracis
n01350226,eng-30-01350226-n,anthrax bacillus
n01350701,eng-30-01350701-n,Yersinia pestis
n01367772,eng-30-01367772-n,enteric bacteria
n01367772,eng-30-01367772-n,enterobacteria
n01367772,eng-30-01367772-n,enterics
n01367772,eng-30-01367772-n,entric
n01375204,eng-30-01375204-n,actinomycete
n01378545,eng-30-01378545-n,myxobacteria
n01378545,eng-30-01378545-n,myxobacterium
n01378545,eng-30-01378545-n,myxobacter
n01378545,eng-30-01378545-n,gliding bacteria
n01378545,eng-30-01378545-n,slime bacteria
n01381044,eng-30-01381044-n,streptococcus
n01381044,eng-30-01381044-n,streptococci
n01381044,eng-30-01381044-n,strep
n01384164,eng-30-01384164-n,zooplankton
n01386354,eng-30-01386354-n,myrmecophile
n01390123,eng-30-01390123-n,sarcodinian
n01390123,eng-30-01390123-n,sarcodine
n01402600,eng-30-01402600-n,brown algae
n01407798,eng-30-01407798-n,green algae
n01407798,eng-30-01407798-n,chlorophyte
n01411450,eng-30-01411450-n,chlorella
n01438581,eng-30-01438581-n,loach
n01439121,eng-30-01439121-n,cyprinid
n01439121,eng-30-01439121-n,cyprinid fish
n01441425,eng-30-01441425-n,shiner
n01444783,eng-30-01444783-n,catostomid
n01446760,eng-30-01446760-n,killifish
n01448291,eng-30-01448291-n,swordtail
n01448291,eng-30-01448291-n,helleri
n01448291,eng-30-01448291-n,topminnow
n01448291,eng-30-01448291-n,Xyphophorus helleri
n01448594,eng-30-01448594-n,guppy
n01448594,eng-30-01448594-n,rainbow fish
n01448594,eng-30-01448594-n,Lebistes reticulatus
n01448951,eng-30-01448951-n,topminnow
n01448951,eng-30-01448951-n,poeciliid fish
n01448951,eng-30-01448951-n,poeciliid
n01448951,eng-30-01448951-n,live-bearer
n01450661,eng-30-01450661-n,squirrelfish
n01453475,eng-30-01453475-n,boarfish
n01453475,eng-30-01453475-n,Capros aper
n01454545,eng-30-01454545-n,cornetfish
n01454856,eng-30-01454856-n,stickleback
n01454856,eng-30-01454856-n,prickleback
n01455778,eng-30-01455778-n,pipefish
n01455778,eng-30-01455778-n,needlefish
n01457407,eng-30-01457407-n,shrimpfish
n01457407,eng-30-01457407-n,shrimp-fish
n01457852,eng-30-01457852-n,trumpetfish
n01457852,eng-30-01457852-n,Aulostomus maculatus
n01464844,eng-30-01464844-n,yolk
n01464844,eng-30-01464844-n,vitellus
n01468712,eng-30-01468712-n,ascidian
n01472303,eng-30-01472303-n,Amniota
n01473806,eng-30-01473806-n,aquatic vertebrate
n01474283,eng-30-01474283-n,jawless vertebrate
n01474283,eng-30-01474283-n,jawless fish
n01474283,eng-30-01474283-n,agnathan
n01480880,eng-30-01480880-n,holocephalan
n01480880,eng-30-01480880-n,holocephalian
n01482071,eng-30-01482071-n,elasmobranch
n01482071,eng-30-01482071-n,selachian
n01483021,eng-30-01483021-n,cow shark
n01483021,eng-30-01483021-n,six-gilled shark
n01483021,eng-30-01483021-n,Hexanchus griseus
n01484097,eng-30-01484097-n,mako
n01484097,eng-30-01484097-n,mako shark
n01485479,eng-30-01485479-n,basking shark
n01485479,eng-30-01485479-n,Cetorhinus maximus
n01486010,eng-30-01486010-n,thresher
n01486010,eng-30-01486010-n,thrasher
n01486010,eng-30-01486010-n,thresher shark
n01486010,eng-30-01486010-n,fox shark
n01486010,eng-30-01486010-n,Alopius vulpinus
n01486838,eng-30-01486838-n,nurse shark
n01486838,eng-30-01486838-n,Ginglymostoma cirratum
n01487506,eng-30-01487506-n,sand tiger
n01487506,eng-30-01487506-n,sand shark
n01487506,eng-30-01487506-n,Carcharias taurus
n01487506,eng-30-01487506-n,Odontaspis taurus
n01488918,eng-30-01488918-n,requiem shark
n01489709,eng-30-01489709-n,sandbar shark
n01489709,eng-30-01489709-n,Carcharhinus plumbeus
n01489920,eng-30-01489920-n,blacktip shark
n01489920,eng-30-01489920-n,sandbar shark
n01489920,eng-30-01489920-n,Carcharhinus limbatus
n01490360,eng-30-01490360-n,dusky shark
n01490360,eng-30-01490360-n,Carcharhinus obscurus
n01490670,eng-30-01490670-n,lemon shark
n01490670,eng-30-01490670-n,Negaprion brevirostris
n01491006,eng-30-01491006-n,blue shark
n01491006,eng-30-01491006-n,great blue shark
n01491006,eng-30-01491006-n,Prionace glauca
n01491874,eng-30-01491874-n,dogfish
n01492357,eng-30-01492357-n,smooth dogfish
n01496331,eng-30-01496331-n,electric ray
n01496331,eng-30-01496331-n,crampfish
n01496331,eng-30-01496331-n,numbfish
n01496331,eng-30-01496331-n,torpedo
n01497118,eng-30-01497118-n,sawfish
n01497738,eng-30-01497738-n,guitarfish
n01498989,eng-30-01498989-n,eagle ray
n01500091,eng-30-01500091-n,manta
n01500091,eng-30-01500091-n,manta ray
n01500091,eng-30-01500091-n,devilfish
n01501160,eng-30-01501160-n,skate
n01503976,eng-30-01503976-n,dickeybird
n01503976,eng-30-01503976-n,dickey-bird
n01503976,eng-30-01503976-n,dickybird
n01503976,eng-30-01503976-n,dicky-bird
n01504344,eng-30-01504344-n,nestling
n01504344,eng-30-01504344-n,baby bird
n01515078,eng-30-01515078-n,night bird
n01515303,eng-30-01515303-n,bird of passage
n01517565,eng-30-01517565-n,ratite
n01517565,eng-30-01517565-n,ratite bird
n01517565,eng-30-01517565-n,flightless bird
n01517966,eng-30-01517966-n,carinate
n01517966,eng-30-01517966-n,carinate bird
n01517966,eng-30-01517966-n,flying bird
n01521756,eng-30-01521756-n,rhea
n01521756,eng-30-01521756-n,nandu
n01521756,eng-30-01521756-n,Pterocnemia pennata
n01524359,eng-30-01524359-n,passerine
n01524359,eng-30-01524359-n,passeriform bird
n01524761,eng-30-01524761-n,nonpasserine bird
n01527194,eng-30-01527194-n,accentor
n01528654,eng-30-01528654-n,pipit
n01528654,eng-30-01528654-n,titlark
n01528654,eng-30-01528654-n,lark
n01530575,eng-30-01530575-n,brambling
n01530575,eng-30-01530575-n,Fringilla montifringilla
n01531178,eng-30-01531178-n,goldfinch
n01531178,eng-30-01531178-n,Carduelis carduelis
n01531811,eng-30-01531811-n,redpoll
n01531811,eng-30-01531811-n,Carduelis flammea
n01531971,eng-30-01531971-n,redpoll
n01531971,eng-30-01531971-n,Carduelis hornemanni
n01532325,eng-30-01532325-n,New World goldfinch
n01532325,eng-30-01532325-n,goldfinch
n01532325,eng-30-01532325-n,yellowbird
n01532325,eng-30-01532325-n,Spinus tristis
n01532511,eng-30-01532511-n,pine siskin
n01532511,eng-30-01532511-n,pine finch
n01532511,eng-30-01532511-n,Spinus pinus
n01533000,eng-30-01533000-n,purple finch
n01533000,eng-30-01533000-n,Carpodacus purpureus
n01533651,eng-30-01533651-n,serin
n01534433,eng-30-01534433-n,junco
n01534433,eng-30-01534433-n,snowbird
n01534762,eng-30-01534762-n,New World sparrow
n01535140,eng-30-01535140-n,vesper sparrow
n01535140,eng-30-01535140-n,grass finch
n01535140,eng-30-01535140-n,Pooecetes gramineus
n01535469,eng-30-01535469-n,white-throated sparrow
n01535469,eng-30-01535469-n,whitethroat
n01535469,eng-30-01535469-n,Zonotrichia albicollis
n01535690,eng-30-01535690-n,white-crowned sparrow
n01535690,eng-30-01535690-n,Zonotrichia leucophrys
n01536035,eng-30-01536035-n,chipping sparrow
n01536035,eng-30-01536035-n,Spizella passerina
n01536186,eng-30-01536186-n,field sparrow
n01536186,eng-30-01536186-n,Spizella pusilla
n01536334,eng-30-01536334-n,tree sparrow
n01536334,eng-30-01536334-n,Spizella arborea
n01536644,eng-30-01536644-n,song sparrow
n01536644,eng-30-01536644-n,Melospiza melodia
n01536780,eng-30-01536780-n,swamp sparrow
n01536780,eng-30-01536780-n,Melospiza georgiana
n01537134,eng-30-01537134-n,bunting
n01537544,eng-30-01537544-n,indigo bunting
n01537544,eng-30-01537544-n,indigo finch
n01537544,eng-30-01537544-n,indigo bird
n01537544,eng-30-01537544-n,Passerina cyanea
n01537895,eng-30-01537895-n,ortolan
n01537895,eng-30-01537895-n,ortolan bunting
n01537895,eng-30-01537895-n,Emberiza hortulana
n01538200,eng-30-01538200-n,yellowhammer
n01538200,eng-30-01538200-n,yellow bunting
n01538200,eng-30-01538200-n,Emberiza citrinella
n01538630,eng-30-01538630-n,snow bunting
n01538630,eng-30-01538630-n,snowbird
n01538630,eng-30-01538630-n,snowflake
n01538630,eng-30-01538630-n,Plectrophenax nivalis
n01538955,eng-30-01538955-n,honeycreeper
n01540090,eng-30-01540090-n,tree sparrow
n01540090,eng-30-01540090-n,Passer montanus
n01540233,eng-30-01540233-n,grosbeak
n01540233,eng-30-01540233-n,grossbeak
n01540566,eng-30-01540566-n,evening grosbeak
n01540566,eng-30-01540566-n,Hesperiphona vespertina
n01540832,eng-30-01540832-n,hawfinch
n01540832,eng-30-01540832-n,Coccothraustes coccothraustes
n01541102,eng-30-01541102-n,pine grosbeak
n01541102,eng-30-01541102-n,Pinicola enucleator
n01541386,eng-30-01541386-n,cardinal
n01541386,eng-30-01541386-n,cardinal grosbeak
n01541386,eng-30-01541386-n,Richmondena Cardinalis
n01541386,eng-30-01541386-n,Cardinalis cardinalis
n01541386,eng-30-01541386-n,redbird
n01541760,eng-30-01541760-n,pyrrhuloxia
n01541760,eng-30-01541760-n,Pyrrhuloxia sinuata
n01541922,eng-30-01541922-n,towhee
n01543175,eng-30-01543175-n,baya
n01543175,eng-30-01543175-n,Ploceus philippinus
n01543383,eng-30-01543383-n,whydah
n01543383,eng-30-01543383-n,whidah
n01543383,eng-30-01543383-n,widow bird
n01543632,eng-30-01543632-n,Java sparrow
n01543632,eng-30-01543632-n,Java finch
n01543632,eng-30-01543632-n,ricebird
n01543632,eng-30-01543632-n,Padda oryzivora
n01544208,eng-30-01544208-n,grassfinch
n01544208,eng-30-01544208-n,grass finch
n01544704,eng-30-01544704-n,honeycreeper
n01544704,eng-30-01544704-n,Hawaiian honeycreeper
n01545574,eng-30-01545574-n,lyrebird
n01546039,eng-30-01546039-n,scrubbird
n01546039,eng-30-01546039-n,scrub-bird
n01546039,eng-30-01546039-n,scrub bird
n01546506,eng-30-01546506-n,broadbill
n01547832,eng-30-01547832-n,New World flycatcher
n01547832,eng-30-01547832-n,flycatcher
n01547832,eng-30-01547832-n,tyrant flycatcher
n01547832,eng-30-01547832-n,tyrant bird
n01548301,eng-30-01548301-n,kingbird
n01548301,eng-30-01548301-n,Tyrannus tyrannus
n01548492,eng-30-01548492-n,Arkansas kingbird
n01548492,eng-30-01548492-n,western kingbird
n01548694,eng-30-01548694-n,Cassin's kingbird
n01548694,eng-30-01548694-n,Tyrannus vociferans
n01548865,eng-30-01548865-n,eastern kingbird
n01549053,eng-30-01549053-n,grey kingbird
n01549053,eng-30-01549053-n,gray kingbird
n01549053,eng-30-01549053-n,petchary
n01549053,eng-30-01549053-n,Tyrannus domenicensis domenicensis
n01549886,eng-30-01549886-n,phoebe
n01549886,eng-30-01549886-n,phoebe bird
n01549886,eng-30-01549886-n,Sayornis phoebe
n01550172,eng-30-01550172-n,vermillion flycatcher
n01550172,eng-30-01550172-n,firebird
n01550172,eng-30-01550172-n,Pyrocephalus rubinus mexicanus
n01550761,eng-30-01550761-n,cotinga
n01550761,eng-30-01550761-n,chatterer
n01551711,eng-30-01551711-n,manakin
n01552813,eng-30-01552813-n,ovenbird
n01553142,eng-30-01553142-n,antbird
n01553142,eng-30-01553142-n,ant bird
n01554448,eng-30-01554448-n,woodhewer
n01554448,eng-30-01554448-n,woodcreeper
n01554448,eng-30-01554448-n,wood-creeper
n01554448,eng-30-01554448-n,tree creeper
n01555305,eng-30-01555305-n,scissortail
n01555305,eng-30-01555305-n,scissortailed flycatcher
n01555305,eng-30-01555305-n,Muscivora-forficata
n01555809,eng-30-01555809-n,Old World flycatcher
n01555809,eng-30-01555809-n,true flycatcher
n01555809,eng-30-01555809-n,flycatcher
n01557962,eng-30-01557962-n,missel thrush
n01557962,eng-30-01557962-n,mistle thrush
n01557962,eng-30-01557962-n,mistletoe thrush
n01557962,eng-30-01557962-n,Turdus viscivorus
n01558149,eng-30-01558149-n,song thrush
n01558149,eng-30-01558149-n,mavis
n01558149,eng-30-01558149-n,throstle
n01558149,eng-30-01558149-n,Turdus philomelos
n01558307,eng-30-01558307-n,fieldfare
n01558307,eng-30-01558307-n,snowbird
n01558307,eng-30-01558307-n,Turdus pilaris
n01558765,eng-30-01558765-n,ring ouzel
n01558765,eng-30-01558765-n,ring blackbird
n01558765,eng-30-01558765-n,ring thrush
n01558765,eng-30-01558765-n,Turdus torquatus
n01558993,eng-30-01558993-n,robin
n01558993,eng-30-01558993-n,American robin
n01558993,eng-30-01558993-n,Turdus migratorius
n01559160,eng-30-01559160-n,clay-colored robin
n01559160,eng-30-01559160-n,Turdus greyi
n01559477,eng-30-01559477-n,hermit thrush
n01559477,eng-30-01559477-n,Hylocichla guttata
n01559639,eng-30-01559639-n,veery
n01559639,eng-30-01559639-n,Wilson's thrush
n01559639,eng-30-01559639-n,Hylocichla fuscescens
n01559804,eng-30-01559804-n,wood thrush
n01559804,eng-30-01559804-n,Hylocichla mustelina
n01560280,eng-30-01560280-n,thrush nightingale
n01560280,eng-30-01560280-n,Luscinia luscinia
n01560636,eng-30-01560636-n,Old World chat
n01560636,eng-30-01560636-n,chat
n01560793,eng-30-01560793-n,stonechat
n01560793,eng-30-01560793-n,Saxicola torquata
n01560935,eng-30-01560935-n,whinchat
n01560935,eng-30-01560935-n,Saxicola rubetra
n01561452,eng-30-01561452-n,redstart
n01561452,eng-30-01561452-n,redtail
n01562014,eng-30-01562014-n,bluebird
n01562265,eng-30-01562265-n,robin
n01562265,eng-30-01562265-n,redbreast
n01562265,eng-30-01562265-n,robin redbreast
n01562265,eng-30-01562265-n,Old World robin
n01562265,eng-30-01562265-n,Erithacus rubecola
n01562451,eng-30-01562451-n,bluethroat
n01562451,eng-30-01562451-n,Erithacus svecicus
n01563128,eng-30-01563128-n,warbler
n01563449,eng-30-01563449-n,gnatcatcher
n01563746,eng-30-01563746-n,kinglet
n01564217,eng-30-01564217-n,ruby-crowned kinglet
n01564217,eng-30-01564217-n,ruby-crowned wren
n01564217,eng-30-01564217-n,Regulus calendula
n01564394,eng-30-01564394-n,Old World warbler
n01564394,eng-30-01564394-n,true warbler
n01564773,eng-30-01564773-n,blackcap
n01564773,eng-30-01564773-n,Silvia atricapilla
n01564914,eng-30-01564914-n,greater whitethroat
n01564914,eng-30-01564914-n,whitethroat
n01564914,eng-30-01564914-n,Sylvia communis
n01565078,eng-30-01565078-n,lesser whitethroat
n01565078,eng-30-01565078-n,whitethroat
n01565078,eng-30-01565078-n,Sylvia curruca
n01565345,eng-30-01565345-n,wood warbler
n01565345,eng-30-01565345-n,Phylloscopus sibilatrix
n01565599,eng-30-01565599-n,sedge warbler
n01565599,eng-30-01565599-n,sedge bird
n01565599,eng-30-01565599-n,sedge wren
n01565599,eng-30-01565599-n,reedbird
n01565599,eng-30-01565599-n,Acrocephalus schoenobaenus
n01565930,eng-30-01565930-n,wren warbler
n01566207,eng-30-01566207-n,tailorbird
n01566207,eng-30-01566207-n,Orthotomus sutorius
n01566645,eng-30-01566645-n,babbler
n01566645,eng-30-01566645-n,cackler
n01567133,eng-30-01567133-n,New World warbler
n01567133,eng-30-01567133-n,wood warbler
n01567678,eng-30-01567678-n,parula warbler
n01567678,eng-30-01567678-n,northern parula
n01567678,eng-30-01567678-n,Parula americana
n01567879,eng-30-01567879-n,Wilson's warbler
n01567879,eng-30-01567879-n,Wilson's blackcap
n01567879,eng-30-01567879-n,Wilsonia pusilla
n01568132,eng-30-01568132-n,flycatching warbler
n01568720,eng-30-01568720-n,Cape May warbler
n01568720,eng-30-01568720-n,Dendroica tigrina
n01568892,eng-30-01568892-n,yellow warbler
n01568892,eng-30-01568892-n,golden warbler
n01568892,eng-30-01568892-n,yellowbird
n01568892,eng-30-01568892-n,Dendroica petechia
n01569060,eng-30-01569060-n,Blackburn
n01569060,eng-30-01569060-n,Blackburnian warbler
n01569060,eng-30-01569060-n,Dendroica fusca
n01569262,eng-30-01569262-n,Audubon's warbler
n01569262,eng-30-01569262-n,Audubon warbler
n01569262,eng-30-01569262-n,Dendroica auduboni
n01569423,eng-30-01569423-n,myrtle warbler
n01569423,eng-30-01569423-n,myrtle bird
n01569423,eng-30-01569423-n,Dendroica coronata
n01569566,eng-30-01569566-n,blackpoll
n01569566,eng-30-01569566-n,Dendroica striate
n01569836,eng-30-01569836-n,New World chat
n01569836,eng-30-01569836-n,chat
n01570267,eng-30-01570267-n,ovenbird
n01570267,eng-30-01570267-n,Seiurus aurocapillus
n01570421,eng-30-01570421-n,water thrush
n01570676,eng-30-01570676-n,yellowthroat
n01571904,eng-30-01571904-n,New World oriole
n01571904,eng-30-01571904-n,American oriole
n01571904,eng-30-01571904-n,oriole
n01572328,eng-30-01572328-n,northern oriole
n01572328,eng-30-01572328-n,Icterus galbula
n01572489,eng-30-01572489-n,Baltimore oriole
n01572489,eng-30-01572489-n,Baltimore bird
n01572489,eng-30-01572489-n,hangbird
n01572489,eng-30-01572489-n,firebird
n01572489,eng-30-01572489-n,Icterus galbula galbula
n01572654,eng-30-01572654-n,Bullock's oriole
n01572654,eng-30-01572654-n,Icterus galbula bullockii
n01572782,eng-30-01572782-n,orchard oriole
n01572782,eng-30-01572782-n,Icterus spurius
n01573074,eng-30-01573074-n,meadowlark
n01573074,eng-30-01573074-n,lark
n01573240,eng-30-01573240-n,eastern meadowlark
n01573240,eng-30-01573240-n,Sturnella magna
n01573360,eng-30-01573360-n,western meadowlark
n01573360,eng-30-01573360-n,Sturnella neglecta
n01573627,eng-30-01573627-n,cacique
n01573627,eng-30-01573627-n,cazique
n01573898,eng-30-01573898-n,bobolink
n01573898,eng-30-01573898-n,ricebird
n01573898,eng-30-01573898-n,reedbird
n01573898,eng-30-01573898-n,Dolichonyx oryzivorus
n01574045,eng-30-01574045-n,New World blackbird
n01574045,eng-30-01574045-n,blackbird
n01574390,eng-30-01574390-n,grackle
n01574390,eng-30-01574390-n,crow blackbird
n01574801,eng-30-01574801-n,rusty blackbird
n01574801,eng-30-01574801-n,rusty grackle
n01574801,eng-30-01574801-n,Euphagus carilonus
n01575117,eng-30-01575117-n,cowbird
n01575745,eng-30-01575745-n,Old World oriole
n01575745,eng-30-01575745-n,oriole
n01577035,eng-30-01577035-n,common starling
n01577035,eng-30-01577035-n,Sturnus vulgaris
n01577659,eng-30-01577659-n,myna
n01577659,eng-30-01577659-n,mynah
n01577659,eng-30-01577659-n,mina
n01577659,eng-30-01577659-n,minah
n01577659,eng-30-01577659-n,myna bird
n01577659,eng-30-01577659-n,mynah bird
n01577941,eng-30-01577941-n,crested myna
n01577941,eng-30-01577941-n,Acridotheres tristis
n01578180,eng-30-01578180-n,hill myna
n01578180,eng-30-01578180-n,Indian grackle
n01578180,eng-30-01578180-n,grackle
n01578180,eng-30-01578180-n,Gracula religiosa
n01578575,eng-30-01578575-n,corvine bird
n01579729,eng-30-01579729-n,chough
n01580772,eng-30-01580772-n,New World jay
n01581166,eng-30-01581166-n,Canada jay
n01581166,eng-30-01581166-n,grey jay
n01581166,eng-30-01581166-n,gray jay
n01581166,eng-30-01581166-n,camp robber
n01581166,eng-30-01581166-n,whisker jack
n01581166,eng-30-01581166-n,Perisoreus canadensis
n01581730,eng-30-01581730-n,nutcracker
n01583209,eng-30-01583209-n,butcherbird
n01583495,eng-30-01583495-n,currawong
n01583495,eng-30-01583495-n,bell magpie
n01583828,eng-30-01583828-n,piping crow
n01583828,eng-30-01583828-n,piping crow-shrike
n01583828,eng-30-01583828-n,Gymnorhina tibicen
n01584695,eng-30-01584695-n,winter wren
n01584695,eng-30-01584695-n,Troglodytes troglodytes
n01584853,eng-30-01584853-n,house wren
n01584853,eng-30-01584853-n,Troglodytes aedon
n01585121,eng-30-01585121-n,marsh wren
n01585715,eng-30-01585715-n,rock wren
n01585715,eng-30-01585715-n,Salpinctes obsoletus
n01586374,eng-30-01586374-n,cactus wren
n01587526,eng-30-01587526-n,catbird
n01587526,eng-30-01587526-n,grey catbird
n01587526,eng-30-01587526-n,gray catbird
n01587526,eng-30-01587526-n,Dumetella carolinensis
n01587834,eng-30-01587834-n,thrasher
n01587834,eng-30-01587834-n,mocking thrush
n01588431,eng-30-01588431-n,New Zealand wren
n01589286,eng-30-01589286-n,creeper
n01589286,eng-30-01589286-n,tree creeper
n01591005,eng-30-01591005-n,European nuthatch
n01591005,eng-30-01591005-n,Sitta europaea
n01591123,eng-30-01591123-n,red-breasted nuthatch
n01591123,eng-30-01591123-n,Sitta canadensis
n01591301,eng-30-01591301-n,white-breasted nuthatch
n01591301,eng-30-01591301-n,Sitta carolinensis
n01592257,eng-30-01592257-n,black-capped chickadee
n01592257,eng-30-01592257-n,blackcap
n01592257,eng-30-01592257-n,Parus atricapillus
n01592387,eng-30-01592387-n,tufted titmouse
n01592387,eng-30-01592387-n,Parus bicolor
n01592540,eng-30-01592540-n,Carolina chickadee
n01592540,eng-30-01592540-n,Parus carolinensis
n01593028,eng-30-01593028-n,bushtit
n01593028,eng-30-01593028-n,bush tit
n01594004,eng-30-01594004-n,fairy bluebird
n01594004,eng-30-01594004-n,bluebird
n01594787,eng-30-01594787-n,barn swallow
n01594787,eng-30-01594787-n,chimney swallow
n01594787,eng-30-01594787-n,Hirundo rustica
n01594968,eng-30-01594968-n,cliff swallow
n01594968,eng-30-01594968-n,Hirundo pyrrhonota
n01595168,eng-30-01595168-n,tree swallow
n01595168,eng-30-01595168-n,tree martin
n01595168,eng-30-01595168-n,Hirundo nigricans
n01595450,eng-30-01595450-n,white-bellied swallow
n01595450,eng-30-01595450-n,tree swallow
n01595450,eng-30-01595450-n,Iridoprocne bicolor
