key	wordnet_id	synonyms
n01486838	eng-30-01486838-n	
n01487506	eng-30-01487506-n	
n01488038	eng-30-01488038-n	walvishaai
n01488918	eng-30-01488918-n	
n01489501	eng-30-01489501-n	stierhaai
n01489709	eng-30-01489709-n	
n01489920	eng-30-01489920-n	
n01490112	eng-30-01490112-n	oceanische witpunthaai
n01490360	eng-30-01490360-n	
n01490670	eng-30-01490670-n	
n01491006	eng-30-01491006-n	
n01491361	eng-30-01491361-n	tijgerhaai
n01491874	eng-30-01491874-n	
n01492357	eng-30-01492357-n	
n01493541	eng-30-01493541-n	doornhaai
n01494475	eng-30-01494475-n	hamerhaai
n01495493	eng-30-01495493-n	zee-engel, zeeduivel
n01495701	eng-30-01495701-n	rogvis, rogvissen
n01496331	eng-30-01496331-n	
n01497118	eng-30-01497118-n	
n01497738	eng-30-01497738-n	
n01498041	eng-30-01498041-n	pijlstaartrog
n01498989	eng-30-01498989-n	
n01500091	eng-30-01500091-n	
n01501160	eng-30-01501160-n	
n01503061	eng-30-01503061-n	vogel, vogeltje
n01503976	eng-30-01503976-n	
n01504179	eng-30-01504179-n	melkmuil, nieuweling
n01504344	eng-30-01504344-n	
n01514668	eng-30-01514668-n	haan
n01514859	eng-30-01514859-n	wijfje, hen, roddeltante
n01515078	eng-30-01515078-n	
n01515303	eng-30-01515303-n	
n01517565	eng-30-01517565-n	
n01517966	eng-30-01517966-n	
n01518878	eng-30-01518878-n	struisvogel
n01519563	eng-30-01519563-n	casuaris, kasuaris
n01519873	eng-30-01519873-n	emoe
n01520576	eng-30-01520576-n	kiwi
n01521399	eng-30-01521399-n	nandoe
n01521756	eng-30-01521756-n	
n01524359	eng-30-01524359-n	
n01524761	eng-30-01524761-n	
n01525720	eng-30-01525720-n	zanger, zangvogel
n01526521	eng-30-01526521-n	zangvogel
n01527194	eng-30-01527194-n	
n01527617	eng-30-01527617-n	vroege vogel, leeuwerik
n01528396	eng-30-01528396-n	kwikstaart
n01528654	eng-30-01528654-n	
n01529672	eng-30-01529672-n	vink
n01530439	eng-30-01530439-n	boekvink, vink
n01530575	eng-30-01530575-n	
n01531178	eng-30-01531178-n	
n01531344	eng-30-01531344-n	kneu
n01531512	eng-30-01531512-n	sijs
n01531811	eng-30-01531811-n	
n01531971	eng-30-01531971-n	
n01532325	eng-30-01532325-n	
n01532511	eng-30-01532511-n	
n01532829	eng-30-01532829-n	kneu
n01533000	eng-30-01533000-n	
n01533339	eng-30-01533339-n	kanariepiet, kanarie, kanariepietje, piet, pietje
n01533651	eng-30-01533651-n	
n01533893	eng-30-01533893-n	kruisbek
n01534155	eng-30-01534155-n	goudvink
n01534433	eng-30-01534433-n	
n01534762	eng-30-01534762-n	
n01535140	eng-30-01535140-n	
n01535469	eng-30-01535469-n	
n01535690	eng-30-01535690-n	
n01536035	eng-30-01536035-n	
n01536186	eng-30-01536186-n	
n01536334	eng-30-01536334-n	
n01536644	eng-30-01536644-n	
n01536780	eng-30-01536780-n	
n01537134	eng-30-01537134-n	
n01537544	eng-30-01537544-n	
n01537895	eng-30-01537895-n	
n01538059	eng-30-01538059-n	rietgors
n01538200	eng-30-01538200-n	
n01538630	eng-30-01538630-n	
n01538955	eng-30-01538955-n	
n01539573	eng-30-01539573-n	mus
n01539925	eng-30-01539925-n	huismus
n01540090	eng-30-01540090-n	
n01540233	eng-30-01540233-n	
n01540566	eng-30-01540566-n	
n01540832	eng-30-01540832-n	
n01541102	eng-30-01541102-n	
n01541386	eng-30-01541386-n	
n01541760	eng-30-01541760-n	
n01541922	eng-30-01541922-n	
n01542786	eng-30-01542786-n	weefster, wever
n01543175	eng-30-01543175-n	
n01543383	eng-30-01543383-n	
n01543632	eng-30-01543632-n	
n01544208	eng-30-01544208-n	
n01544704	eng-30-01544704-n	
n01545574	eng-30-01545574-n	
n01546039	eng-30-01546039-n	
n01546506	eng-30-01546506-n	
n01547832	eng-30-01547832-n	
n01548301	eng-30-01548301-n	
n01548492	eng-30-01548492-n	
n01548694	eng-30-01548694-n	
n01548865	eng-30-01548865-n	
n01549053	eng-30-01549053-n	
n01549430	eng-30-01549430-n	Pewee
n01549886	eng-30-01549886-n	
n01550172	eng-30-01550172-n	
n01550761	eng-30-01550761-n	
n01551711	eng-30-01551711-n	
n01552813	eng-30-01552813-n	
n01553142	eng-30-01553142-n	
n01554448	eng-30-01554448-n	
n01555004	eng-30-01555004-n	pitabroodje, pittabroodje, shoarmabroodje
n01555305	eng-30-01555305-n	
n01555809	eng-30-01555809-n	
n01557185	eng-30-01557185-n	lijster
n01557962	eng-30-01557962-n	
n01558149	eng-30-01558149-n	
n01558307	eng-30-01558307-n	
n01558461	eng-30-01558461-n	koperwiek
n01558594	eng-30-01558594-n	merel
n01558765	eng-30-01558765-n	
n01558993	eng-30-01558993-n	
n01559160	eng-30-01559160-n	
n01559477	eng-30-01559477-n	
n01559639	eng-30-01559639-n	
n01559804	eng-30-01559804-n	
n01560105	eng-30-01560105-n	nachtegaal
n01560280	eng-30-01560280-n	
n01560636	eng-30-01560636-n	
n01560793	eng-30-01560793-n	
n01560935	eng-30-01560935-n	
n01561452	eng-30-01561452-n	
n01561732	eng-30-01561732-n	tarweaar
n01562014	eng-30-01562014-n	
n01562265	eng-30-01562265-n	
n01562451	eng-30-01562451-n	
n01563128	eng-30-01563128-n	
n01563449	eng-30-01563449-n	
n01563746	eng-30-01563746-n	
n01563945	eng-30-01563945-n	goudhaantje
n01564217	eng-30-01564217-n	
n01564394	eng-30-01564394-n	
n01564773	eng-30-01564773-n	
n01564914	eng-30-01564914-n	
n01565078	eng-30-01565078-n	
n01565345	eng-30-01565345-n	
n01565599	eng-30-01565599-n	
n01565930	eng-30-01565930-n	
n01566207	eng-30-01566207-n	
n01566645	eng-30-01566645-n	
n01567133	eng-30-01567133-n	
n01567678	eng-30-01567678-n	
n01567879	eng-30-01567879-n	
n01568132	eng-30-01568132-n	
n01568720	eng-30-01568720-n	
n01568892	eng-30-01568892-n	
n01569060	eng-30-01569060-n	
n01569262	eng-30-01569262-n	
n01569423	eng-30-01569423-n	
n01569566	eng-30-01569566-n	
n01569836	eng-30-01569836-n	
n01570267	eng-30-01570267-n	
n01570421	eng-30-01570421-n	
n01570676	eng-30-01570676-n	
n01571904	eng-30-01571904-n	
n01572328	eng-30-01572328-n	
n01572489	eng-30-01572489-n	
n01572654	eng-30-01572654-n	
n01572782	eng-30-01572782-n	
n01573074	eng-30-01573074-n	
n01573240	eng-30-01573240-n	
n01573360	eng-30-01573360-n	
n01573627	eng-30-01573627-n	
n01573898	eng-30-01573898-n	
n01574045	eng-30-01574045-n	
n01574390	eng-30-01574390-n	
n01574801	eng-30-01574801-n	
n01575117	eng-30-01575117-n	
n01575401	eng-30-01575401-n	koperwiek
n01575745	eng-30-01575745-n	
n01576695	eng-30-01576695-n	spreeuw
n01577035	eng-30-01577035-n	
n01577659	eng-30-01577659-n	
n01577941	eng-30-01577941-n	
n01578180	eng-30-01578180-n	
n01578575	eng-30-01578575-n	
n01579028	eng-30-01579028-n	kraai
n01579260	eng-30-01579260-n	raaf
n01579410	eng-30-01579410-n	roek
n01579578	eng-30-01579578-n	kauw
n01579729	eng-30-01579729-n	
n01580077	eng-30-01580077-n	Vlaamse gaai, gaai
n01580772	eng-30-01580772-n	
n01581166	eng-30-01581166-n	
n01581730	eng-30-01581730-n	
n01582220	eng-30-01582220-n	ekster
n01582856	eng-30-01582856-n	zwartrugfluitvogel
n01583209	eng-30-01583209-n	
n01583495	eng-30-01583495-n	
n01583828	eng-30-01583828-n	
n01584225	eng-30-01584225-n	winterkoninkje
n01584695	eng-30-01584695-n	
n01584853	eng-30-01584853-n	
n01585121	eng-30-01585121-n	
n01585715	eng-30-01585715-n	
n01586020	eng-30-01586020-n	Carolina-winterkoning
n01586374	eng-30-01586374-n	
n01586941	eng-30-01586941-n	spotvogel
n01587526	eng-30-01587526-n	
n01587834	eng-30-01587834-n	
n01588431	eng-30-01588431-n	
n01589286	eng-30-01589286-n	
n01591005	eng-30-01591005-n	
n01591123	eng-30-01591123-n	
n01591301	eng-30-01591301-n	
n01591697	eng-30-01591697-n	mees
n01592084	eng-30-01592084-n	mees
n01592257	eng-30-01592257-n	
n01592387	eng-30-01592387-n	
n01592540	eng-30-01592540-n	
n01592694	eng-30-01592694-n	pimpelmees
n01593028	eng-30-01593028-n	
n01593553	eng-30-01593553-n	Verdin
n01594004	eng-30-01594004-n	
n01594372	eng-30-01594372-n	zwaluw
n01594787	eng-30-01594787-n	
n01594968	eng-30-01594968-n	
n01595168	eng-30-01595168-n	
n01595450	eng-30-01595450-n	
n01595624	eng-30-01595624-n	
n01595974	eng-30-01595974-n	
n01596273	eng-30-01596273-n	
n01596608	eng-30-01596608-n	
n01597022	eng-30-01597022-n	
n01597336	eng-30-01597336-n	
n01597737	eng-30-01597737-n	
n01597906	eng-30-01597906-n	
n01598074	eng-30-01598074-n	
n01598271	eng-30-01598271-n	
n01598588	eng-30-01598588-n	klauwier
n01598988	eng-30-01598988-n	
n01599159	eng-30-01599159-n	
n01599269	eng-30-01599269-n	
n01599388	eng-30-01599388-n	
n01599556	eng-30-01599556-n	
n01599741	eng-30-01599741-n	
n01600085	eng-30-01600085-n	
n01600657	eng-30-01600657-n	
n01601694	eng-30-01601694-n	waterspreeuw
n01602630	eng-30-01602630-n	
n01602832	eng-30-01602832-n	
n01603000	eng-30-01603000-n	
n01603152	eng-30-01603152-n	
n01603600	eng-30-01603600-n	
n01603812	eng-30-01603812-n	
n01603953	eng-30-01603953-n	pestvogel
n01604330	eng-30-01604330-n	roofvogel
n01604968	eng-30-01604968-n	
n01605630	eng-30-01605630-n	havik
n01606097	eng-30-01606097-n	vanvalk, nesteling
n01606177	eng-30-01606177-n	tersel
n01606522	eng-30-01606522-n	havik
n01606672	eng-30-01606672-n	
n01606809	eng-30-01606809-n	
n01607429	eng-30-01607429-n	
n01607600	eng-30-01607600-n	
n01607812	eng-30-01607812-n	
n01607962	eng-30-01607962-n	buizerd
n01608265	eng-30-01608265-n	
n01608432	eng-30-01608432-n	
n01608814	eng-30-01608814-n	
n01609062	eng-30-01609062-n	
n01609391	eng-30-01609391-n	
n01609751	eng-30-01609751-n	kiekendief
n01609956	eng-30-01609956-n	
n01610100	eng-30-01610100-n	
n01610226	eng-30-01610226-n	
n01610552	eng-30-01610552-n	
n01610955	eng-30-01610955-n	valk
n01611472	eng-30-01611472-n	slechtvalk
n01611800	eng-30-01611800-n	giervalk
n01611969	eng-30-01611969-n	valk, torenvalk
n01612122	eng-30-01612122-n	Amerikaanse torenvalk, torenvalk
n01612275	eng-30-01612275-n	
n01612476	eng-30-01612476-n	
n01612628	eng-30-01612628-n	
n01613294	eng-30-01613294-n	adelaar, arend
n01613615	eng-30-01613615-n	
n01613807	eng-30-01613807-n	jonge arend, adelaarsjong
n01614038	eng-30-01614038-n	harpij
n01614343	eng-30-01614343-n	steenarend
n01614556	eng-30-01614556-n	
n01614925	eng-30-01614925-n	
n01615121	eng-30-01615121-n	
n01615303	eng-30-01615303-n	
n01615458	eng-30-01615458-n	
n01615703	eng-30-01615703-n	
n01616086	eng-30-01616086-n	visarend
n01616318	eng-30-01616318-n	gier
n01617095	eng-30-01617095-n	vale gier
n01617443	eng-30-01617443-n	lammergier
n01617766	eng-30-01617766-n	
n01618082	eng-30-01618082-n	
n01618503	eng-30-01618503-n	
n01618922	eng-30-01618922-n	
n01619310	eng-30-01619310-n	buizerd
n01619536	eng-30-01619536-n	
n01619835	eng-30-01619835-n	
n01620135	eng-30-01620135-n	
n01620414	eng-30-01620414-n	monniksgier, zwarte kraai
n01620735	eng-30-01620735-n	koningsgier
n01621127	eng-30-01621127-n	uil
n01621635	eng-30-01621635-n	uilskuiken
n01622120	eng-30-01622120-n	steenuil
n01622352	eng-30-01622352-n	
n01622779	eng-30-01622779-n	
n01622959	eng-30-01622959-n	bosuil
n01623110	eng-30-01623110-n	
n01623425	eng-30-01623425-n	
n01623615	eng-30-01623615-n	
n01623706	eng-30-01623706-n	
n01623880	eng-30-01623880-n	
n01624305	eng-30-01624305-n	
n01624537	eng-30-01624537-n	sperweruil, valkuil
n01624833	eng-30-01624833-n	ransuil
n01625562	eng-30-01625562-n	kerkuil
n01627424	eng-30-01627424-n	amfibieën, amfibie
n01628770	eng-30-01628770-n	
n01629276	eng-30-01629276-n	salamander, salamanders
n01629819	eng-30-01629819-n	
n01629962	eng-30-01629962-n	
n01630148	eng-30-01630148-n	
n01630284	eng-30-01630284-n	watersalamander, salamander, pleurodelinae
n01630670	eng-30-01630670-n	
n01630901	eng-30-01630901-n	
n01631175	eng-30-01631175-n	
n01631663	eng-30-01631663-n	
n01632308	eng-30-01632308-n	
n01632458	eng-30-01632458-n	
n01632601	eng-30-01632601-n	
n01632777	eng-30-01632777-n	axolotl
n01633406	eng-30-01633406-n	
n01633781	eng-30-01633781-n	
n01635027	eng-30-01635027-n	
n01635176	eng-30-01635176-n	
n01636127	eng-30-01636127-n	
n01636352	eng-30-01636352-n	
n01636829	eng-30-01636829-n	
n01637112	eng-30-01637112-n	
n01637615	eng-30-01637615-n	
n01637932	eng-30-01637932-n	
n01639765	eng-30-01639765-n	kikvors, kikker, pad
n01640846	eng-30-01640846-n	
n01641206	eng-30-01641206-n	
n01641391	eng-30-01641391-n	
n01641577	eng-30-01641577-n	brulkikker
n01641739	eng-30-01641739-n	
n01641930	eng-30-01641930-n	
n01642257	eng-30-01642257-n	
n01642539	eng-30-01642539-n	
n01643507	eng-30-01643507-n	
n01643896	eng-30-01643896-n	
n01644373	eng-30-01644373-n	boomkikvors
n01644900	eng-30-01644900-n	
n01645776	eng-30-01645776-n	
n01646292	eng-30-01646292-n	
n01646388	eng-30-01646388-n	
n01646555	eng-30-01646555-n	
n01646648	eng-30-01646648-n	
n01646802	eng-30-01646802-n	
n01646902	eng-30-01646902-n	
n01647303	eng-30-01647303-n	
n01647466	eng-30-01647466-n	
n01647640	eng-30-01647640-n	
n01648139	eng-30-01648139-n	
n01648356	eng-30-01648356-n	
n01648620	eng-30-01648620-n	
n01649170	eng-30-01649170-n	
n01650167	eng-30-01650167-n	boomkikvors
n01650690	eng-30-01650690-n	
n01650901	eng-30-01650901-n	
n01651059	eng-30-01651059-n	
n01651487	eng-30-01651487-n	
n01652026	eng-30-01652026-n	
n01653223	eng-30-01653223-n	
n01653773	eng-30-01653773-n	
n01654863	eng-30-01654863-n	
n01655344	eng-30-01655344-n	
n01661091	eng-30-01661091-n	reptielen, reptiel
n01661592	eng-30-01661592-n	
n01663401	eng-30-01663401-n	zeeschildpad
n01663782	eng-30-01663782-n	
n01664065	eng-30-01664065-n	
n01664369	eng-30-01664369-n	
n01664492	eng-30-01664492-n	
n01664674	eng-30-01664674-n	
n01664990	eng-30-01664990-n	karetschildpad
n01665541	eng-30-01665541-n	
n01665932	eng-30-01665932-n	
n01667114	eng-30-01667114-n	
n01667778	eng-30-01667778-n	moerasschildpad
n01668436	eng-30-01668436-n	
n01668665	eng-30-01668665-n	
n01668892	eng-30-01668892-n	
n01669191	eng-30-01669191-n	
n01669654	eng-30-01669654-n	
n01670092	eng-30-01670092-n	schildpad
n01670535	eng-30-01670535-n	
n01670802	eng-30-01670802-n	
n01671125	eng-30-01671125-n	
n01671479	eng-30-01671479-n	
n01671705	eng-30-01671705-n	
n01672032	eng-30-01672032-n	
n01673282	eng-30-01673282-n	
n01674216	eng-30-01674216-n	sauriër
n01674990	eng-30-01674990-n	gekko
n01676755	eng-30-01676755-n	
n01677366	eng-30-01677366-n	leguaan, iguana
n01677747	eng-30-01677747-n	
n01678043	eng-30-01678043-n	
n01678343	eng-30-01678343-n	
n01679307	eng-30-01679307-n	
n01679626	eng-30-01679626-n	
n01679962	eng-30-01679962-n	
n01680264	eng-30-01680264-n	
n01680478	eng-30-01680478-n	
n01680655	eng-30-01680655-n	gierzwaluw
n01680813	eng-30-01680813-n	
n01680983	eng-30-01680983-n	
n01681328	eng-30-01681328-n	duinhagedis
n01681653	eng-30-01681653-n	
n01681940	eng-30-01681940-n	
n01682435	eng-30-01682435-n	basilisk
n01682714	eng-30-01682714-n	
n01683558	eng-30-01683558-n	
n01684133	eng-30-01684133-n	
n01685439	eng-30-01685439-n	
n01687665	eng-30-01687665-n	
n01687978	eng-30-01687978-n	
n01688243	eng-30-01688243-n	
n01688961	eng-30-01688961-n	
n01689411	eng-30-01689411-n	
n01691217	eng-30-01691217-n	
n01691951	eng-30-01691951-n	
n01692864	eng-30-01692864-n	
n01693783	eng-30-01693783-n	kameleon
n01694709	eng-30-01694709-n	varaan
n01694955	eng-30-01694955-n	
n01695060	eng-30-01695060-n	komodovaraan
n01696633	eng-30-01696633-n	
n01697178	eng-30-01697178-n	krokodil, krokodilleleer, krokodillenleer
n01697457	eng-30-01697457-n	
n01697611	eng-30-01697611-n	
n01698434	eng-30-01698434-n	alligator
n01698640	eng-30-01698640-n	
n01698782	eng-30-01698782-n	
n01699040	eng-30-01699040-n	kaaiman
n01699675	eng-30-01699675-n	
n01708106	eng-30-01708106-n	
n01710177	eng-30-01710177-n	diplodocus
n01726692	eng-30-01726692-n	serpent, slang
n01727646	eng-30-01727646-n	Colubriden
n01728572	eng-30-01728572-n	
