key,wordnet_id,lemma,translation
n01323068,eng-30-01323068-n,tiger cub,tijgerwelp
n01323155,eng-30-01323155-n,kit,uitrusting
n01323261,eng-30-01323261-n,suckling,zuigeling
n01323355,eng-30-01323355-n,sire,sire
n01323493,eng-30-01323493-n,dam,dam
n01323781,eng-30-01323781-n,giant,reusachtig
n01330126,eng-30-01330126-n,adenovirus,adenovirus
n01338685,eng-30-01338685-n,herpes,herpes
n01338685,eng-30-01338685-n,herpes virus,herpes virus
n01339336,eng-30-01339336-n,herpes zoster,herpes zoster
n01339336,eng-30-01339336-n,herpes zoster virus,herpes zoster-virus
n01339801,eng-30-01339801-n,cytomegalovirus,cytomegalovirus
n01339801,eng-30-01339801-n,CMV,CMV
n01340014,eng-30-01340014-n,varicella zoster virus,varicella zoster-virus
n01340935,eng-30-01340935-n,reovirus,reovirus
n01342269,eng-30-01342269-n,moneran,moneran
n01342269,eng-30-01342269-n,moneron,monere
n01350226,eng-30-01350226-n,Bacillus anthracis,Bacillus anthracis
n01350226,eng-30-01350226-n,anthrax bacillus,miltvuur bacillus
n01350701,eng-30-01350701-n,Yersinia pestis,Yersinia pestis
n01367772,eng-30-01367772-n,enteric bacteria,darmbacteriën
n01367772,eng-30-01367772-n,enterobacteria,enterobacteriën
n01367772,eng-30-01367772-n,enterics,enterics
n01367772,eng-30-01367772-n,entric,entric
n01375204,eng-30-01375204-n,actinomycete,actinomycete
n01378545,eng-30-01378545-n,myxobacteria,myxobacteriën
n01378545,eng-30-01378545-n,myxobacterium,myxobacterie
n01378545,eng-30-01378545-n,myxobacter,myxobacter
n01378545,eng-30-01378545-n,gliding bacteria,zweefvliegen bacteriën
n01378545,eng-30-01378545-n,slime bacteria,slijmbacteriën
n01381044,eng-30-01381044-n,streptococcus,streptococcus
n01381044,eng-30-01381044-n,streptococci,streptokokken
n01381044,eng-30-01381044-n,strep,streptokokken
n01384164,eng-30-01384164-n,zooplankton,zoöplankton
n01386354,eng-30-01386354-n,myrmecophile,myrmecophile
n01390123,eng-30-01390123-n,sarcodinian,sarcodinian
n01390123,eng-30-01390123-n,sarcodine,sarcodine
n01402600,eng-30-01402600-n,brown algae,bruine algen
n01407798,eng-30-01407798-n,green algae,groene algen
n01407798,eng-30-01407798-n,chlorophyte,chlorophyte
n01411450,eng-30-01411450-n,chlorella,chlorella
n01438581,eng-30-01438581-n,loach,bermpje
n01439121,eng-30-01439121-n,cyprinid,karperachtigen
n01439121,eng-30-01439121-n,cyprinid fish,karperachtigen
n01441425,eng-30-01441425-n,shiner,sovereign
n01444783,eng-30-01444783-n,catostomid,catostomid
n01446760,eng-30-01446760-n,killifish,killifish
n01448291,eng-30-01448291-n,swordtail,swordtail
n01448291,eng-30-01448291-n,helleri,helleri
n01448291,eng-30-01448291-n,topminnow,topminnow
n01448291,eng-30-01448291-n,Xyphophorus helleri,Xyphophorus helleri
n01448594,eng-30-01448594-n,guppy,guppy
n01448594,eng-30-01448594-n,rainbow fish,regenboogvis
n01448594,eng-30-01448594-n,Lebistes reticulatus,Lebistes reticulatus
n01448951,eng-30-01448951-n,topminnow,topminnow
n01448951,eng-30-01448951-n,poeciliid fish,poeciliid vis
n01448951,eng-30-01448951-n,poeciliid,poeciliid
n01448951,eng-30-01448951-n,live-bearer,Live-drager
n01450661,eng-30-01450661-n,squirrelfish,squirrelfish
n01453475,eng-30-01453475-n,boarfish,evervis
n01453475,eng-30-01453475-n,Capros aper,Capros aper
n01454545,eng-30-01454545-n,cornetfish,cornetfish
n01454856,eng-30-01454856-n,stickleback,stekelbaars
n01454856,eng-30-01454856-n,prickleback,stekelruggen
n01455778,eng-30-01455778-n,pipefish,zeenaalden
n01455778,eng-30-01455778-n,needlefish,naaldvis
n01457407,eng-30-01457407-n,shrimpfish,shrimpfish
n01457407,eng-30-01457407-n,shrimp-fish,garnalen-vis
n01457852,eng-30-01457852-n,trumpetfish,trumpetfish
n01457852,eng-30-01457852-n,Aulostomus maculatus,Aulostomus maculatus
n01464844,eng-30-01464844-n,yolk,eierdooier
n01464844,eng-30-01464844-n,vitellus,vitellus
n01468712,eng-30-01468712-n,ascidian,ascidian
n01472303,eng-30-01472303-n,Amniota,Amniota
n01473806,eng-30-01473806-n,aquatic vertebrate,aquatisch gewerveld
n01474283,eng-30-01474283-n,jawless vertebrate,kaakloze gewervelde
n01474283,eng-30-01474283-n,jawless fish,kaakloze vis
n01474283,eng-30-01474283-n,agnathan,agnathan
n01480880,eng-30-01480880-n,holocephalan,holocephalan
n01480880,eng-30-01480880-n,holocephalian,holocephalian
n01482071,eng-30-01482071-n,elasmobranch,kraakbeenvissen
n01482071,eng-30-01482071-n,selachian,selachian
n01483021,eng-30-01483021-n,cow shark,koe haai
n01483021,eng-30-01483021-n,six-gilled shark,zes-kieuwen haai
n01483021,eng-30-01483021-n,Hexanchus griseus,Hexanchus griseus
n01484097,eng-30-01484097-n,mako,mako
n01484097,eng-30-01484097-n,mako shark,makreelhaai
n01485479,eng-30-01485479-n,basking shark,reuzenhaai
n01485479,eng-30-01485479-n,Cetorhinus maximus,Cetorhinus maximus
n01486010,eng-30-01486010-n,thresher,dorsmachine
n01486010,eng-30-01486010-n,thrasher,zeevos
n01486010,eng-30-01486010-n,thresher shark,voshaai
n01486010,eng-30-01486010-n,fox shark,vos haai
n01486010,eng-30-01486010-n,Alopius vulpinus,Alopius vulpinus
n01486838,eng-30-01486838-n,nurse shark,verpleegstershaai
n01486838,eng-30-01486838-n,Ginglymostoma cirratum,Ginglymostoma cirratum
n01487506,eng-30-01487506-n,sand tiger,zand tijger
n01487506,eng-30-01487506-n,sand shark,tijgerhaaien
n01487506,eng-30-01487506-n,Carcharias taurus,Carcharias taurus
n01487506,eng-30-01487506-n,Odontaspis taurus,Odontaspis taurus
n01488918,eng-30-01488918-n,requiem shark,requiemhaaien
n01489709,eng-30-01489709-n,sandbar shark,zandbankhaai
n01489709,eng-30-01489709-n,Carcharhinus plumbeus,Carcharhinus plumbeus
n01489920,eng-30-01489920-n,blacktip shark,zwartpunthaai
n01489920,eng-30-01489920-n,sandbar shark,zandbankhaai
n01489920,eng-30-01489920-n,Carcharhinus limbatus,Carcharhinus limbatus
n01490360,eng-30-01490360-n,dusky shark,schemerhaai
n01490360,eng-30-01490360-n,Carcharhinus obscurus,Carcharhinus obscurus
n01490670,eng-30-01490670-n,lemon shark,citroenhaai
n01490670,eng-30-01490670-n,Negaprion brevirostris,Negaprion brevirostris
n01491006,eng-30-01491006-n,blue shark,blauwe haai
n01491006,eng-30-01491006-n,great blue shark,grote blauwe haai
n01491006,eng-30-01491006-n,Prionace glauca,Prionace glauca
n01491874,eng-30-01491874-n,dogfish,doornhaai
n01492357,eng-30-01492357-n,smooth dogfish,gladde hondshaai
n01496331,eng-30-01496331-n,electric ray,sidderrog
n01496331,eng-30-01496331-n,crampfish,crampfish
n01496331,eng-30-01496331-n,numbfish,numbfish
n01496331,eng-30-01496331-n,torpedo,torpedo-
n01497118,eng-30-01497118-n,sawfish,zaagvis
n01497738,eng-30-01497738-n,guitarfish,guitarfish
n01498989,eng-30-01498989-n,eagle ray,adelaarsrog
n01500091,eng-30-01500091-n,manta,manta
n01500091,eng-30-01500091-n,manta ray,mantarog
n01500091,eng-30-01500091-n,devilfish,devilfish
n01501160,eng-30-01501160-n,skate,vleet
n01503976,eng-30-01503976-n,dickeybird,dickeybird
n01503976,eng-30-01503976-n,dickey-bird,Dickey-bird
n01503976,eng-30-01503976-n,dickybird,dickybird
n01503976,eng-30-01503976-n,dicky-bird,dicky vogel
n01504344,eng-30-01504344-n,nestling,nestvogel
n01504344,eng-30-01504344-n,baby bird,baby vogel
n01515078,eng-30-01515078-n,night bird,nachtvogel
n01515303,eng-30-01515303-n,bird of passage,trekvogel
n01517565,eng-30-01517565-n,ratite,loopvogels
n01517565,eng-30-01517565-n,ratite bird,loopvogels vogel
n01517565,eng-30-01517565-n,flightless bird,niet-vliegende vogel
n01517966,eng-30-01517966-n,carinate,carinate
n01517966,eng-30-01517966-n,carinate bird,carinate vogel
n01517966,eng-30-01517966-n,flying bird,vliegende vogel
n01521756,eng-30-01521756-n,rhea,Rhea
n01521756,eng-30-01521756-n,nandu,nandu
n01521756,eng-30-01521756-n,Pterocnemia pennata,Pterocnemia pennata
n01524359,eng-30-01524359-n,passerine,passerine
n01524359,eng-30-01524359-n,passeriform bird,passeriform vogel
n01524761,eng-30-01524761-n,nonpasserine bird,nonpasserine vogel
n01527194,eng-30-01527194-n,accentor,Accentor
n01528654,eng-30-01528654-n,pipit,pipit
n01528654,eng-30-01528654-n,titlark,graspieper
n01528654,eng-30-01528654-n,lark,leeuwerik
n01530575,eng-30-01530575-n,brambling,brambling
n01530575,eng-30-01530575-n,Fringilla montifringilla,Fringilla montifringilla
n01531178,eng-30-01531178-n,goldfinch,distelvink
n01531178,eng-30-01531178-n,Carduelis carduelis,Carduelis carduelis
n01531811,eng-30-01531811-n,redpoll,barmsijs
n01531811,eng-30-01531811-n,Carduelis flammea,Carduelis flammea
n01531971,eng-30-01531971-n,redpoll,barmsijs
n01531971,eng-30-01531971-n,Carduelis hornemanni,Carduelis hornemanni
n01532325,eng-30-01532325-n,New World goldfinch,New World distelvink
n01532325,eng-30-01532325-n,goldfinch,distelvink
n01532325,eng-30-01532325-n,yellowbird,gele vogel
n01532325,eng-30-01532325-n,Spinus tristis,spinus tristis
n01532511,eng-30-01532511-n,pine siskin,pine siskin
n01532511,eng-30-01532511-n,pine finch,pine vink
n01532511,eng-30-01532511-n,Spinus pinus,spinus pinus
n01533000,eng-30-01533000-n,purple finch,paarse vink
n01533000,eng-30-01533000-n,Carpodacus purpureus,Carpodacus purpureus
n01533651,eng-30-01533651-n,serin,serine
n01534433,eng-30-01534433-n,junco,junco
n01534433,eng-30-01534433-n,snowbird,lijster
n01534762,eng-30-01534762-n,New World sparrow,New World mus
n01535140,eng-30-01535140-n,vesper sparrow,avondgors
n01535140,eng-30-01535140-n,grass finch,gras vink
n01535140,eng-30-01535140-n,Pooecetes gramineus,Pooecetes gramineus
n01535469,eng-30-01535469-n,white-throated sparrow,Witkeelgors
n01535469,eng-30-01535469-n,whitethroat,whitethroat
n01535469,eng-30-01535469-n,Zonotrichia albicollis,Zonotrichia albicollis
n01535690,eng-30-01535690-n,white-crowned sparrow,witkruingors
n01535690,eng-30-01535690-n,Zonotrichia leucophrys,Zonotrichia leucophrys
n01536035,eng-30-01536035-n,chipping sparrow,chippen mus
n01536035,eng-30-01536035-n,Spizella passerina,Spizella passerina
n01536186,eng-30-01536186-n,field sparrow,veldgors
n01536186,eng-30-01536186-n,Spizella pusilla,Spizella pusilla
n01536334,eng-30-01536334-n,tree sparrow,ringelmus
n01536334,eng-30-01536334-n,Spizella arborea,Spizella arborea
n01536644,eng-30-01536644-n,song sparrow,liedmus
n01536644,eng-30-01536644-n,Melospiza melodia,Melospiza melodia
n01536780,eng-30-01536780-n,swamp sparrow,moeras mus
n01536780,eng-30-01536780-n,Melospiza georgiana,Melospiza georgiana
n01537134,eng-30-01537134-n,bunting,vlaggedoek
n01537544,eng-30-01537544-n,indigo bunting,indigobunting
n01537544,eng-30-01537544-n,indigo finch,indigo vink
n01537544,eng-30-01537544-n,indigo bird,indigo vogel
n01537544,eng-30-01537544-n,Passerina cyanea,Passerina cyanea
n01537895,eng-30-01537895-n,ortolan,ortolaan
n01537895,eng-30-01537895-n,ortolan bunting,ortolaan
n01537895,eng-30-01537895-n,Emberiza hortulana,Emberiza hortulana
n01538200,eng-30-01538200-n,yellowhammer,geelgors
n01538200,eng-30-01538200-n,yellow bunting,gele gors
n01538200,eng-30-01538200-n,Emberiza citrinella,Emberiza citrinella
n01538630,eng-30-01538630-n,snow bunting,sneeuwgors
n01538630,eng-30-01538630-n,snowbird,lijster
n01538630,eng-30-01538630-n,snowflake,sneeuwvlok
n01538630,eng-30-01538630-n,Plectrophenax nivalis,Plectrophenax nivalis
n01538955,eng-30-01538955-n,honeycreeper,honeycreeper
n01540090,eng-30-01540090-n,tree sparrow,ringelmus
n01540090,eng-30-01540090-n,Passer montanus,passer montanus
n01540233,eng-30-01540233-n,grosbeak,grosbeak
n01540233,eng-30-01540233-n,grossbeak,grossbeak
n01540566,eng-30-01540566-n,evening grosbeak,avond grosbeak
n01540566,eng-30-01540566-n,Hesperiphona vespertina,Hesperiphona vespertina
n01540832,eng-30-01540832-n,hawfinch,appelvink
n01540832,eng-30-01540832-n,Coccothraustes coccothraustes,Coccothraustes coccothraustes
n01541102,eng-30-01541102-n,pine grosbeak,pijnboomgrosbeak
n01541102,eng-30-01541102-n,Pinicola enucleator,pinicola enucleator
n01541386,eng-30-01541386-n,cardinal,kardinaal
n01541386,eng-30-01541386-n,cardinal grosbeak,kardinaal grosbeak
n01541386,eng-30-01541386-n,Richmondena Cardinalis,Richmondena Cardinalis
n01541386,eng-30-01541386-n,Cardinalis cardinalis,cardinaliscardinalis
n01541386,eng-30-01541386-n,redbird,rode vogel
n01541760,eng-30-01541760-n,pyrrhuloxia,pyrrhuloxia
n01541760,eng-30-01541760-n,Pyrrhuloxia sinuata,pyrrhuloxia sinuata
n01541922,eng-30-01541922-n,towhee,towhee
n01543175,eng-30-01543175-n,baya,baya
n01543175,eng-30-01543175-n,Ploceus philippinus,Ploceus philippinus
n01543383,eng-30-01543383-n,whydah,whydah
n01543383,eng-30-01543383-n,whidah,whidah
n01543383,eng-30-01543383-n,widow bird,weduwe vogel
n01543632,eng-30-01543632-n,Java sparrow,De mus van Java
n01543632,eng-30-01543632-n,Java finch,Java vink
n01543632,eng-30-01543632-n,ricebird,ricebird
n01543632,eng-30-01543632-n,Padda oryzivora,Padda oryzivora
n01544208,eng-30-01544208-n,grassfinch,grassfinch
n01544208,eng-30-01544208-n,grass finch,gras vink
n01544704,eng-30-01544704-n,honeycreeper,honeycreeper
n01544704,eng-30-01544704-n,Hawaiian honeycreeper,Hawaiian honeycreeper
n01545574,eng-30-01545574-n,lyrebird,soort vogel
n01546039,eng-30-01546039-n,scrubbird,atrichornis
n01546039,eng-30-01546039-n,scrub-bird,scrub-bird
n01546039,eng-30-01546039-n,scrub bird,atrichornis
n01546506,eng-30-01546506-n,broadbill,broadbill
n01547832,eng-30-01547832-n,New World flycatcher,New World vliegenvanger
n01547832,eng-30-01547832-n,flycatcher,vliegenvanger
n01547832,eng-30-01547832-n,tyrant flycatcher,tiran vliegenvanger
n01547832,eng-30-01547832-n,tyrant bird,tiran vogel
n01548301,eng-30-01548301-n,kingbird,kingbird
n01548301,eng-30-01548301-n,Tyrannus tyrannus,Tyrannus tyrannus
n01548492,eng-30-01548492-n,Arkansas kingbird,Arkansas kingbird
n01548492,eng-30-01548492-n,western kingbird,western kingbird
n01548694,eng-30-01548694-n,Cassin's kingbird,Kingbird van Cassin
n01548694,eng-30-01548694-n,Tyrannus vociferans,Tyrannus vociferans
n01548865,eng-30-01548865-n,eastern kingbird,oostelijke kingbird
n01549053,eng-30-01549053-n,grey kingbird,grijs kingbird
n01549053,eng-30-01549053-n,gray kingbird,grijs kingbird
n01549053,eng-30-01549053-n,petchary,petchary
n01549053,eng-30-01549053-n,Tyrannus domenicensis domenicensis,Tyrannus domenicensis domenicensis
n01549886,eng-30-01549886-n,phoebe,Phoebe
n01549886,eng-30-01549886-n,phoebe bird,phoebe vogel
n01549886,eng-30-01549886-n,Sayornis phoebe,Sayornis Phoebe
n01550172,eng-30-01550172-n,vermillion flycatcher,rode tiran
n01550172,eng-30-01550172-n,firebird,firebird
n01550172,eng-30-01550172-n,Pyrocephalus rubinus mexicanus,Pyrocephalus rubinus mexicanus
n01550761,eng-30-01550761-n,cotinga,cotinga
n01550761,eng-30-01550761-n,chatterer,babbelaar
n01551711,eng-30-01551711-n,manakin,manakin
n01552813,eng-30-01552813-n,ovenbird,tjiftjaf
n01553142,eng-30-01553142-n,antbird,antbird
n01553142,eng-30-01553142-n,ant bird,mier vogel
n01554448,eng-30-01554448-n,woodhewer,woodhewer
n01554448,eng-30-01554448-n,woodcreeper,muisspecht
n01554448,eng-30-01554448-n,wood-creeper,wood-creeper
n01554448,eng-30-01554448-n,tree creeper,boomkruiper
n01555305,eng-30-01555305-n,scissortail,scissortail
n01555305,eng-30-01555305-n,scissortailed flycatcher,scissortailed vliegenvanger
n01555305,eng-30-01555305-n,Muscivora-forficata,Muscivora-forficata
n01555809,eng-30-01555809-n,Old World flycatcher,Vliegenvangers
n01555809,eng-30-01555809-n,true flycatcher,true vliegenvanger
n01555809,eng-30-01555809-n,flycatcher,vliegenvanger
n01557962,eng-30-01557962-n,missel thrush,missel lijster
n01557962,eng-30-01557962-n,mistle thrush,grote lijster
n01557962,eng-30-01557962-n,mistletoe thrush,maretak lijster
n01557962,eng-30-01557962-n,Turdus viscivorus,Turdus viscivorus
n01558149,eng-30-01558149-n,song thrush,zanglijster
n01558149,eng-30-01558149-n,mavis,zanglijster
n01558149,eng-30-01558149-n,throstle,lijster
n01558149,eng-30-01558149-n,Turdus philomelos,Turdus philomelos
n01558307,eng-30-01558307-n,fieldfare,kramsvogel
n01558307,eng-30-01558307-n,snowbird,lijster
n01558307,eng-30-01558307-n,Turdus pilaris,Turdus pilaris
n01558765,eng-30-01558765-n,ring ouzel,ringmerel
n01558765,eng-30-01558765-n,ring blackbird,ring merel
n01558765,eng-30-01558765-n,ring thrush,ring spruw
n01558765,eng-30-01558765-n,Turdus torquatus,Turdus torquatus
n01558993,eng-30-01558993-n,robin,roodborstje
n01558993,eng-30-01558993-n,American robin,Amerikaanse robin
n01558993,eng-30-01558993-n,Turdus migratorius,Turdus migratorius
n01559160,eng-30-01559160-n,clay-colored robin,Klei-gekleurde robin
n01559160,eng-30-01559160-n,Turdus greyi,Turdus greyi
n01559477,eng-30-01559477-n,hermit thrush,kluizenaar lijster
n01559477,eng-30-01559477-n,Hylocichla guttata,Hylocichla guttata
n01559639,eng-30-01559639-n,veery,veery
n01559639,eng-30-01559639-n,Wilson's thrush,Wilson's lijster
n01559639,eng-30-01559639-n,Hylocichla fuscescens,Hylocichla fuscescens
n01559804,eng-30-01559804-n,wood thrush,houten lijster
n01559804,eng-30-01559804-n,Hylocichla mustelina,Hylocichla mustelina
n01560280,eng-30-01560280-n,thrush nightingale,Noordse nachtegaal
n01560280,eng-30-01560280-n,Luscinia luscinia,Luscinia luscinia
n01560636,eng-30-01560636-n,Old World chat,Oude Wereld-chat
n01560636,eng-30-01560636-n,chat,babbelen
n01560793,eng-30-01560793-n,stonechat,stonechat
n01560793,eng-30-01560793-n,Saxicola torquata,Saxicola torquata
n01560935,eng-30-01560935-n,whinchat,paapje
n01560935,eng-30-01560935-n,Saxicola rubetra,Saxicola rubetra
n01561452,eng-30-01561452-n,redstart,roodstaartje
n01561452,eng-30-01561452-n,redtail,rode staart
n01562014,eng-30-01562014-n,bluebird,blauwe vogel
n01562265,eng-30-01562265-n,robin,roodborstje
n01562265,eng-30-01562265-n,redbreast,roodborstje
n01562265,eng-30-01562265-n,robin redbreast,roodborstje
n01562265,eng-30-01562265-n,Old World robin,Oude Wereld robin
n01562265,eng-30-01562265-n,Erithacus rubecola,erithacus rubecola
n01562451,eng-30-01562451-n,bluethroat,blauwborst
n01562451,eng-30-01562451-n,Erithacus svecicus,erithacus svecicus
n01563128,eng-30-01563128-n,warbler,tjiftjaf
n01563449,eng-30-01563449-n,gnatcatcher,gnatcatcher
n01563746,eng-30-01563746-n,kinglet,koninkje
n01564217,eng-30-01564217-n,ruby-crowned kinglet,roodkroonhaan
n01564217,eng-30-01564217-n,ruby-crowned wren,ruby-bekroonde winterkoninkje
n01564217,eng-30-01564217-n,Regulus calendula,Regulus calendula
n01564394,eng-30-01564394-n,Old World warbler,Oude Wereld grasmus
n01564394,eng-30-01564394-n,true warbler,true grasmus
n01564773,eng-30-01564773-n,blackcap,blackcap
n01564773,eng-30-01564773-n,Silvia atricapilla,Silvia atricapilla
n01564914,eng-30-01564914-n,greater whitethroat,grotere whitethroat
n01564914,eng-30-01564914-n,whitethroat,whitethroat
n01564914,eng-30-01564914-n,Sylvia communis,Sylvia communis
n01565078,eng-30-01565078-n,lesser whitethroat,Braamsluiper
n01565078,eng-30-01565078-n,whitethroat,whitethroat
n01565078,eng-30-01565078-n,Sylvia curruca,Sylvia curruca
n01565345,eng-30-01565345-n,wood warbler,Fluiter
n01565345,eng-30-01565345-n,Phylloscopus sibilatrix,Phylloscopus sibilatrix
n01565599,eng-30-01565599-n,sedge warbler,rietzanger
n01565599,eng-30-01565599-n,sedge bird,zegge vogel
n01565599,eng-30-01565599-n,sedge wren,zeggewinterkoning
n01565599,eng-30-01565599-n,reedbird,reedbird
n01565599,eng-30-01565599-n,Acrocephalus schoenobaenus,Acrocephalus schoenobaenus
n01565930,eng-30-01565930-n,wren warbler,winterkoninkje karekiet
n01566207,eng-30-01566207-n,tailorbird,Tailorbird
n01566207,eng-30-01566207-n,Orthotomus sutorius,Orthotomus Sutorius
n01566645,eng-30-01566645-n,babbler,wauwelaar
