key	wordnet_id	synonyms	provenance
n00452864	eng-30-00452864-n	hazejacht, hazenjacht	odwn
n00453126	eng-30-00453126-n	hazejacht, hazenjacht	odwn
n00453313	eng-30-00453313-n	herten jagen, hertenjacht	google_translate
n00453396	eng-30-00453396-n	ducking, eendenjacht	google_translate
n00453478	eng-30-00453478-n	Vos jagen, vossenjacht	google_translate
n00453935	eng-30-00453935-n	het vissen	odwn
n00454237	eng-30-00454237-n	vissen, hengelsport	odwn
n00454395	eng-30-00454395-n	vlieg vissen	google_translate
n00454493	eng-30-00454493-n	trol, trollen	google_translate
n00454624	eng-30-00454624-n	gieten, gegoten	google_translate
n00454983	eng-30-00454983-n	fly casting	google_translate
n00455076	eng-30-00455076-n	bewolking	google_translate
n00455173	eng-30-00455173-n	surf casting, surf vissen	google_translate
n00456465	eng-30-00456465-n	dag spel	google_translate
n00463246	eng-30-00463246-n	atletisch spel	google_translate
n00463543	eng-30-00463543-n	ijshockey	odwn
n00464277	eng-30-00464277-n	tetherball	google_translate
n00464478	eng-30-00464478-n	polo, waterpolo	odwn
n00464651	eng-30-00464651-n	veldspel	odwn
n00464894	eng-30-00464894-n	golf	odwn
n00466273	eng-30-00466273-n	professionele golf	google_translate
n00466377	eng-30-00466377-n	rondje golf, ronde	google_translate
n00466524	eng-30-00466524-n	medal play, strokeplay	google_translate
n00466630	eng-30-00466630-n	Matchplay	google_translate
n00466712	eng-30-00466712-n	minigolf	google_translate
n00466880	eng-30-00466880-n	croquet	odwn
n00467320	eng-30-00467320-n	hoefbeslag, paardebeslag, paardenbeslag	odwn
n00467536	eng-30-00467536-n	sjoelbak	odwn
n00467719	eng-30-00467719-n	veldsport	odwn
n00467995	eng-30-00467995-n	hockey	odwn
n00468480	eng-30-00468480-n	voetballen, voetbal	odwn
n00469651	eng-30-00469651-n	Amerikaanse voetbal	odwn
n00470554	eng-30-00470554-n	profvoetbal	google_translate
n00470830	eng-30-00470830-n	hurling	google_translate
n00470966	eng-30-00470966-n	rugby voetbalspel, rugby	odwn
n00471437	eng-30-00471437-n	balspel	odwn
n00474568	eng-30-00474568-n	bal	google_translate
n00474657	eng-30-00474657-n	professionele honkbal	google_translate
n00474881	eng-30-00474881-n	perfect spel	google_translate
n00475014	eng-30-00475014-n	no-hit spel, no-hitter	google_translate
n00475273	eng-30-00475273-n	twee-hitter, 2-hitter	google_translate
n00475403	eng-30-00475403-n	drie-hitter, 3-hitter	google_translate
n00475535	eng-30-00475535-n	vier-hitter, 4-hitter	google_translate
n00475661	eng-30-00475661-n	vijf-hitter, 5-hitter	google_translate
n00475787	eng-30-00475787-n	softball, softbal spel	google_translate
n00476235	eng-30-00476235-n	stickball, stickball spel	google_translate
n00476389	eng-30-00476389-n	cricket	odwn
n00477392	eng-30-00477392-n	lacrosse	odwn
n00477639	eng-30-00477639-n	polo	odwn
n00478262	eng-30-00478262-n	voetbal	odwn
n00479076	eng-30-00479076-n	court spel	google_translate
n00479440	eng-30-00479440-n	handbal, handsbal, hands	odwn
n00479616	eng-30-00479616-n	racquetball	google_translate
n00479887	eng-30-00479887-n	squash	odwn
n00480211	eng-30-00480211-n	volleybal	odwn
n00480366	eng-30-00480366-n	jaialai, pelota	google_translate
n00480508	eng-30-00480508-n	badminton	google_translate
n00480885	eng-30-00480885-n	raket, raket en shuttle	google_translate
n00480993	eng-30-00480993-n	basketbal	odwn
n00481803	eng-30-00481803-n	professionele basketbal	google_translate
n00482122	eng-30-00482122-n	netbal, netservice	odwn
n00482298	eng-30-00482298-n	kraaiennest, tennis	odwn
n00483205	eng-30-00483205-n	professionele tennis	google_translate
n00483313	eng-30-00483313-n	enkelspel, single	odwn
n00483409	eng-30-00483409-n	singles	google_translate
n00483508	eng-30-00483508-n	dubbelspel	google_translate
n00483605	eng-30-00483605-n	dubbelspel	google_translate
n00483705	eng-30-00483705-n	royal tennis, real tennis, court tennis	google_translate
n00483848	eng-30-00483848-n	pallone	google_translate
n00825773	eng-30-00825773-n	judo	odwn
n00887544	eng-30-00887544-n	ploegsport	odwn
n01314388	eng-30-01314388-n	pest	odwn
n01314663	eng-30-01314663-n	critter	google_translate
n01314781	eng-30-01314781-n	griezelig-crawly	google_translate
n01315213	eng-30-01315213-n	bespieder	google_translate
n01315581	eng-30-01315581-n	poikilotherm, ectotherm	google_translate
n01315805	eng-30-01315805-n	range dier	google_translate
n01316422	eng-30-01316422-n	jutter, straatveger, aasdier, aaseter	odwn
n01316579	eng-30-01316579-n	bottom-feeder, bodem bewoner	google_translate
n01316949	eng-30-01316949-n	werk dier	google_translate
n01317541	eng-30-01317541-n	huisdier	odwn
n01317813	eng-30-01317813-n	voeder	google_translate
n01317916	eng-30-01317916-n	voeder	google_translate
n01318279	eng-30-01318279-n	kuiken	odwn
n01318381	eng-30-01318381-n	hoofd	google_translate
n01318894	eng-30-01318894-n	huisdier	odwn
n01319001	eng-30-01319001-n	blijver, aanhouder, doorbijter, doordouwer, doorzetter, knokker, vechter, volhouder	odwn
n01319187	eng-30-01319187-n	stunt	google_translate
n01319467	eng-30-01319467-n	zeedier	odwn
n01321123	eng-30-01321123-n	roddeltante	odwn
n01321230	eng-30-01321230-n	man, mannetje, mannetjesdier	odwn
n01321456	eng-30-01321456-n	volwassen	google_translate
n01321579	eng-30-01321579-n	kind, nakomeling, jong, jonkie, kleintje	odwn
n01321770	eng-30-01321770-n	weeskind	odwn
n01321854	eng-30-01321854-n	jonge zoogdier	google_translate
n01322221	eng-30-01322221-n	jong, jonkie, kleintje	odwn
n01322343	eng-30-01322343-n	hondejong, hondenjong, pup, puppy	odwn
n01322508	eng-30-01322508-n	welp	odwn
n01322604	eng-30-01322604-n	hondejong, hondenjong, pup, puppy	odwn
n01322685	eng-30-01322685-n	welp	odwn
n01322898	eng-30-01322898-n	leeuwenwelp	odwn
n01322983	eng-30-01322983-n	berenjong	odwn
n01323068	eng-30-01323068-n	tijgerwelp	google_translate
n01323155	eng-30-01323155-n	uitrusting	google_translate
n01323261	eng-30-01323261-n	zuigeling	google_translate
n01323355	eng-30-01323355-n	sire	google_translate
n01323493	eng-30-01323493-n	dam	google_translate
n01323599	eng-30-01323599-n	pur_sang, raspaard, stamboekdier, volbloed	odwn
n01323781	eng-30-01323781-n	reusachtig	google_translate
n01324610	eng-30-01324610-n	fructivoor, fytofaag, herbivoor, planteneter	odwn
n01324799	eng-30-01324799-n	insectivoor	odwn
n01326291	eng-30-01326291-n	micro-organisme, microbe	odwn
n01330126	eng-30-01330126-n	adenovirus	google_translate
n01338685	eng-30-01338685-n	herpes, herpes virus	google_translate
n01339336	eng-30-01339336-n	herpes zoster, herpes zoster-virus	google_translate
n01339801	eng-30-01339801-n	cytomegalovirus, CMV	google_translate
n01340014	eng-30-01340014-n	varicella zoster-virus	google_translate
n01340935	eng-30-01340935-n	reovirus	google_translate
n01342269	eng-30-01342269-n	moneran, monere	google_translate
n01350226	eng-30-01350226-n	Bacillus anthracis, miltvuur bacillus	google_translate
n01350701	eng-30-01350701-n	Yersinia pestis	google_translate
n01351315	eng-30-01351315-n	schroefbacterie	odwn
n01367772	eng-30-01367772-n	darmbacteriën, enterobacteriën, enterics, entric	google_translate
n01375204	eng-30-01375204-n	actinomycete	google_translate
n01378545	eng-30-01378545-n	myxobacteriën, myxobacterie, myxobacter, zweefvliegen bacteriën, slijmbacteriën	google_translate
n01381044	eng-30-01381044-n	streptococcus, streptokokken, streptokokken	google_translate
n01382033	eng-30-01382033-n	spirocheet	odwn
n01384164	eng-30-01384164-n	zoöplankton	google_translate
n01386182	eng-30-01386182-n	disgenoot, kostganger, tafelgenoot	odwn
n01386354	eng-30-01386354-n	myrmecophile	google_translate
n01389507	eng-30-01389507-n	protozoa, protozoön	odwn
n01390123	eng-30-01390123-n	sarcodinian, sarcodine	google_translate
n01395254	eng-30-01395254-n	trilhaardiertje	odwn
n01397114	eng-30-01397114-n	zeewier, algen, wieren, alg, alge, wier	odwn
n01402600	eng-30-01402600-n	bruine algen	google_translate
n01407798	eng-30-01407798-n	groene algen, chlorophyte	google_translate
n01411450	eng-30-01411450-n	chlorella	google_translate
n01415626	eng-30-01415626-n	eukaryoten	odwn
n01421807	eng-30-01421807-n	sporozoön	odwn
n01438581	eng-30-01438581-n	bermpje	google_translate
n01439121	eng-30-01439121-n	karperachtigen, karperachtigen	google_translate
n01439514	eng-30-01439514-n	karper	odwn
n01440764	eng-30-01440764-n	zeelt	odwn
n01441117	eng-30-01441117-n	serpeling	odwn
n01441425	eng-30-01441425-n	sovereign	google_translate
n01442710	eng-30-01442710-n	rietvoorn, ruis, ruisvoorn	odwn
n01442972	eng-30-01442972-n	ondermaatse vis, elrits, voorn, witvis	odwn
n01443243	eng-30-01443243-n	riviergronde, grondel, riviergrondel	odwn
n01443537	eng-30-01443537-n	goudvis	odwn
n01443831	eng-30-01443831-n	kroeskarper, giebel	odwn
n01444339	eng-30-01444339-n	sidderaal	odwn
n01444783	eng-30-01444783-n	catostomid	google_translate
n01446760	eng-30-01446760-n	killifish	google_translate
n01448291	eng-30-01448291-n	swordtail, helleri, topminnow, Xyphophorus helleri	google_translate
n01448594	eng-30-01448594-n	guppy, regenboogvis, Lebistes reticulatus	google_translate
n01448951	eng-30-01448951-n	topminnow, poeciliid vis, poeciliid, Live-drager	google_translate
n01450661	eng-30-01450661-n	squirrelfish	google_translate
n01453475	eng-30-01453475-n	evervis, Capros aper	google_translate
n01454545	eng-30-01454545-n	cornetfish	google_translate
n01454856	eng-30-01454856-n	stekelbaars, stekelruggen	google_translate
n01455778	eng-30-01455778-n	zeenaalden, naaldvis	google_translate
n01457407	eng-30-01457407-n	shrimpfish, garnalen-vis	google_translate
n01457852	eng-30-01457852-n	trumpetfish, Aulostomus maculatus	google_translate
n01458842	eng-30-01458842-n	foetus, embryo, vrucht	odwn
n01459791	eng-30-01459791-n	foetus	odwn
n01464844	eng-30-01464844-n	eierdooier, vitellus	google_translate
n01468238	eng-30-01468238-n	omhuld	odwn
n01468712	eng-30-01468712-n	ascidian	google_translate
n01469723	eng-30-01469723-n	Salpa	odwn
n01471682	eng-30-01471682-n	werveldier, gewervelde dieren, vertebraat	odwn
n01472303	eng-30-01472303-n	Amniota	google_translate
n01473806	eng-30-01473806-n	aquatisch gewerveld	google_translate
n01474283	eng-30-01474283-n	kaakloze gewervelde, kaakloze vis, agnathan	google_translate
n01480880	eng-30-01480880-n	holocephalan, holocephalian	google_translate
n01482071	eng-30-01482071-n	kraakbeenvissen, selachian	google_translate
n01482330	eng-30-01482330-n	haai	odwn
n01483021	eng-30-01483021-n	koe haai, zes-kieuwen haai, Hexanchus griseus	google_translate
n01483830	eng-30-01483830-n	haringhaai	odwn
n01484097	eng-30-01484097-n	mako, makreelhaai	google_translate
n01484850	eng-30-01484850-n	grote witte haai, antropofaag, kannibaal, menseneter	odwn
n01485479	eng-30-01485479-n	reuzenhaai, Cetorhinus maximus	google_translate
n01486010	eng-30-01486010-n	dorsmachine, zeevos, voshaai, vos haai, Alopius vulpinus	google_translate
n01486838	eng-30-01486838-n	verpleegstershaai, Ginglymostoma cirratum	google_translate
n01487506	eng-30-01487506-n	zand tijger, tijgerhaaien, Carcharias taurus, Odontaspis taurus	google_translate
n01488038	eng-30-01488038-n	walvishaai	odwn
n01488918	eng-30-01488918-n	requiemhaaien	google_translate
n01489501	eng-30-01489501-n	stierhaai	odwn
n01489709	eng-30-01489709-n	zandbankhaai, Carcharhinus plumbeus	google_translate
n01489920	eng-30-01489920-n	zwartpunthaai, zandbankhaai, Carcharhinus limbatus	google_translate
n01490112	eng-30-01490112-n	oceanische witpunthaai	odwn
n01490360	eng-30-01490360-n	schemerhaai, Carcharhinus obscurus	google_translate
n01490670	eng-30-01490670-n	citroenhaai, Negaprion brevirostris	google_translate
n01491006	eng-30-01491006-n	blauwe haai, grote blauwe haai, Prionace glauca	google_translate
n01491361	eng-30-01491361-n	tijgerhaai	odwn
n01491874	eng-30-01491874-n	doornhaai	google_translate
n01492357	eng-30-01492357-n	gladde hondshaai	google_translate
n01493541	eng-30-01493541-n	doornhaai	odwn
n01494475	eng-30-01494475-n	hamerhaai	odwn
n01495493	eng-30-01495493-n	zee-engel, zeeduivel	odwn
n01495701	eng-30-01495701-n	rogvis, rogvissen	odwn
n01496331	eng-30-01496331-n	sidderrog, crampfish, numbfish, torpedo-	google_translate
n01497118	eng-30-01497118-n	zaagvis	google_translate
n01497738	eng-30-01497738-n	guitarfish	google_translate
n01498041	eng-30-01498041-n	pijlstaartrog	odwn
n01498989	eng-30-01498989-n	adelaarsrog	google_translate
n01500091	eng-30-01500091-n	manta, mantarog, devilfish	google_translate
n01501160	eng-30-01501160-n	vleet	google_translate
n01503061	eng-30-01503061-n	vogel, vogeltje	odwn
n01503976	eng-30-01503976-n	dickeybird, Dickey-bird, dickybird, dicky vogel	google_translate
n01504179	eng-30-01504179-n	melkmuil, nieuweling	odwn
n01504344	eng-30-01504344-n	nestvogel, baby vogel	google_translate
n01514668	eng-30-01514668-n	haan	odwn
n01514859	eng-30-01514859-n	wijfje, hen, roddeltante	odwn
n01515078	eng-30-01515078-n	nachtvogel	google_translate
n01515303	eng-30-01515303-n	trekvogel	google_translate
n01517565	eng-30-01517565-n	loopvogels, loopvogels vogel, niet-vliegende vogel	google_translate
n01517966	eng-30-01517966-n	carinate, carinate vogel, vliegende vogel	google_translate
n01518878	eng-30-01518878-n	struisvogel	odwn
n01519563	eng-30-01519563-n	casuaris, kasuaris	odwn
n01519873	eng-30-01519873-n	emoe	odwn
n01520576	eng-30-01520576-n	kiwi	odwn
n01521399	eng-30-01521399-n	nandoe	odwn
n01521756	eng-30-01521756-n	Rhea, nandu, Pterocnemia pennata	google_translate
n01524359	eng-30-01524359-n	passerine, passeriform vogel	google_translate
n01524761	eng-30-01524761-n	nonpasserine vogel	google_translate
n01525720	eng-30-01525720-n	zanger, zangvogel	odwn
n01526521	eng-30-01526521-n	zangvogel	odwn
n01527194	eng-30-01527194-n	Accentor	google_translate
n01527617	eng-30-01527617-n	vroege vogel, leeuwerik	odwn
n01528396	eng-30-01528396-n	kwikstaart	odwn
n01528654	eng-30-01528654-n	pipit, graspieper, leeuwerik	google_translate
n01529672	eng-30-01529672-n	vink	odwn
n01530439	eng-30-01530439-n	boekvink, vink	odwn
n01530575	eng-30-01530575-n	brambling, Fringilla montifringilla	google_translate
n01531178	eng-30-01531178-n	distelvink, Carduelis carduelis	google_translate
n01531344	eng-30-01531344-n	kneu	odwn
n01531512	eng-30-01531512-n	sijs	odwn
n01531811	eng-30-01531811-n	barmsijs, Carduelis flammea	google_translate
n01531971	eng-30-01531971-n	barmsijs, Carduelis hornemanni	google_translate
n01532325	eng-30-01532325-n	New World distelvink, distelvink, gele vogel, spinus tristis	google_translate
n01532511	eng-30-01532511-n	pine siskin, pine vink, spinus pinus	google_translate
n01532829	eng-30-01532829-n	kneu	odwn
n01533000	eng-30-01533000-n	paarse vink, Carpodacus purpureus	google_translate
n01533339	eng-30-01533339-n	kanariepiet, kanarie, kanariepietje, piet, pietje	odwn
n01533651	eng-30-01533651-n	serine	google_translate
n01533893	eng-30-01533893-n	kruisbek	odwn
n01534155	eng-30-01534155-n	goudvink	odwn
n01534433	eng-30-01534433-n	junco, lijster	google_translate
n01534762	eng-30-01534762-n	New World mus	google_translate
n01535140	eng-30-01535140-n	avondgors, gras vink, Pooecetes gramineus	google_translate
n01535469	eng-30-01535469-n	Witkeelgors, whitethroat, Zonotrichia albicollis	google_translate
n01535690	eng-30-01535690-n	witkruingors, Zonotrichia leucophrys	google_translate
n01536035	eng-30-01536035-n	chippen mus, Spizella passerina	google_translate
n01536186	eng-30-01536186-n	veldgors, Spizella pusilla	google_translate
n01536334	eng-30-01536334-n	ringelmus, Spizella arborea	google_translate
n01536644	eng-30-01536644-n	liedmus, Melospiza melodia	google_translate
n01536780	eng-30-01536780-n	moeras mus, Melospiza georgiana	google_translate
n01537134	eng-30-01537134-n	vlaggedoek	google_translate
n01537544	eng-30-01537544-n	indigobunting, indigo vink, indigo vogel, Passerina cyanea	google_translate
n01537895	eng-30-01537895-n	ortolaan, ortolaan, Emberiza hortulana	google_translate
n01538059	eng-30-01538059-n	rietgors	odwn
n01538200	eng-30-01538200-n	geelgors, gele gors, Emberiza citrinella	google_translate
n01538630	eng-30-01538630-n	sneeuwgors, lijster, sneeuwvlok, Plectrophenax nivalis	google_translate
n01538955	eng-30-01538955-n	honeycreeper	google_translate
n01539573	eng-30-01539573-n	mus	odwn
n01539925	eng-30-01539925-n	huismus	odwn
n01540090	eng-30-01540090-n	ringelmus, passer montanus	google_translate
n01540233	eng-30-01540233-n	grosbeak, grossbeak	google_translate
n01540566	eng-30-01540566-n	avond grosbeak, Hesperiphona vespertina	google_translate
n01540832	eng-30-01540832-n	appelvink, Coccothraustes coccothraustes	google_translate
n01541102	eng-30-01541102-n	pijnboomgrosbeak, pinicola enucleator	google_translate
n01541386	eng-30-01541386-n	kardinaal, kardinaal grosbeak, Richmondena Cardinalis, cardinaliscardinalis, rode vogel	google_translate
n01541760	eng-30-01541760-n	pyrrhuloxia, pyrrhuloxia sinuata	google_translate
n01541922	eng-30-01541922-n	towhee	google_translate
n01542786	eng-30-01542786-n	weefster, wever	odwn
n01543175	eng-30-01543175-n	baya, Ploceus philippinus	google_translate
n01543383	eng-30-01543383-n	whydah, whidah, weduwe vogel	google_translate
n01543632	eng-30-01543632-n	De mus van Java, Java vink, ricebird, Padda oryzivora	google_translate
n01544208	eng-30-01544208-n	grassfinch, gras vink	google_translate
n01544704	eng-30-01544704-n	honeycreeper, Hawaiian honeycreeper	google_translate
n01545574	eng-30-01545574-n	soort vogel	google_translate
n01546039	eng-30-01546039-n	atrichornis, scrub-bird, atrichornis	google_translate
n01546506	eng-30-01546506-n	broadbill	google_translate
n01547832	eng-30-01547832-n	New World vliegenvanger, vliegenvanger, tiran vliegenvanger, tiran vogel	google_translate
n01548301	eng-30-01548301-n	kingbird, Tyrannus tyrannus	google_translate
n01548492	eng-30-01548492-n	Arkansas kingbird, western kingbird	google_translate
n01548694	eng-30-01548694-n	Kingbird van Cassin, Tyrannus vociferans	google_translate
n01548865	eng-30-01548865-n	oostelijke kingbird	google_translate
n01549053	eng-30-01549053-n	grijs kingbird, grijs kingbird, petchary, Tyrannus domenicensis domenicensis	google_translate
n01549430	eng-30-01549430-n	Pewee	odwn
n01549886	eng-30-01549886-n	Phoebe, phoebe vogel, Sayornis Phoebe	google_translate
n01550172	eng-30-01550172-n	rode tiran, firebird, Pyrocephalus rubinus mexicanus	google_translate
n01550761	eng-30-01550761-n	cotinga, babbelaar	google_translate
n01551711	eng-30-01551711-n	manakin	google_translate
n01552813	eng-30-01552813-n	tjiftjaf	google_translate
n01553142	eng-30-01553142-n	antbird, mier vogel	google_translate
n01554448	eng-30-01554448-n	woodhewer, muisspecht, wood-creeper, boomkruiper	google_translate
n01555004	eng-30-01555004-n	pitabroodje, pittabroodje, shoarmabroodje	odwn
n01555305	eng-30-01555305-n	scissortail, scissortailed vliegenvanger, Muscivora-forficata	google_translate
n01555809	eng-30-01555809-n	Vliegenvangers, true vliegenvanger, vliegenvanger	google_translate
n01557185	eng-30-01557185-n	lijster	odwn
n01557962	eng-30-01557962-n	missel lijster, grote lijster, maretak lijster, Turdus viscivorus	google_translate
n01558149	eng-30-01558149-n	zanglijster, zanglijster, lijster, Turdus philomelos	google_translate
n01558307	eng-30-01558307-n	kramsvogel, lijster, Turdus pilaris	google_translate
n01558461	eng-30-01558461-n	koperwiek	odwn
n01558594	eng-30-01558594-n	merel	odwn
n01558765	eng-30-01558765-n	ringmerel, ring merel, ring spruw, Turdus torquatus	google_translate
n01558993	eng-30-01558993-n	roodborstje, Amerikaanse robin, Turdus migratorius	google_translate
n01559160	eng-30-01559160-n	Klei-gekleurde robin, Turdus greyi	google_translate
n01559477	eng-30-01559477-n	kluizenaar lijster, Hylocichla guttata	google_translate
n01559639	eng-30-01559639-n	veery, Wilson's lijster, Hylocichla fuscescens	google_translate
n01559804	eng-30-01559804-n	houten lijster, Hylocichla mustelina	google_translate
n01560105	eng-30-01560105-n	nachtegaal	odwn
n01560280	eng-30-01560280-n	Noordse nachtegaal, Luscinia luscinia	google_translate
n01560636	eng-30-01560636-n	Oude Wereld-chat, babbelen	google_translate
n01560793	eng-30-01560793-n	stonechat, Saxicola torquata	google_translate
n01560935	eng-30-01560935-n	paapje, Saxicola rubetra	google_translate
n01561452	eng-30-01561452-n	roodstaartje, rode staart	google_translate
n01561732	eng-30-01561732-n	tarweaar	odwn
n01562014	eng-30-01562014-n	blauwe vogel	google_translate
n01562265	eng-30-01562265-n	roodborstje, roodborstje, roodborstje, Oude Wereld robin, erithacus rubecola	google_translate
n01562451	eng-30-01562451-n	blauwborst, erithacus svecicus	google_translate
n01563128	eng-30-01563128-n	tjiftjaf	google_translate
n01563449	eng-30-01563449-n	gnatcatcher	google_translate
n01563746	eng-30-01563746-n	koninkje	google_translate
n01563945	eng-30-01563945-n	goudhaantje	odwn
n01564217	eng-30-01564217-n	roodkroonhaan, ruby-bekroonde winterkoninkje, Regulus calendula	google_translate
n01564394	eng-30-01564394-n	Oude Wereld grasmus, true grasmus	google_translate
n01564773	eng-30-01564773-n	blackcap, Silvia atricapilla	google_translate
n01564914	eng-30-01564914-n	grotere whitethroat, whitethroat, Sylvia communis	google_translate
n01565078	eng-30-01565078-n	Braamsluiper, whitethroat, Sylvia curruca	google_translate
n01565345	eng-30-01565345-n	Fluiter, Phylloscopus sibilatrix	google_translate
n01565599	eng-30-01565599-n	rietzanger, zegge vogel, zeggewinterkoning, reedbird, Acrocephalus schoenobaenus	google_translate
n01565930	eng-30-01565930-n	winterkoninkje karekiet	google_translate
n01566207	eng-30-01566207-n	Tailorbird, Orthotomus Sutorius	google_translate
n01566645	eng-30-01566645-n	wauwelaar, cackler	google_translate
n01567133	eng-30-01567133-n	New World grasmus, Fluiter	google_translate
n01567678	eng-30-01567678-n	parula grasmus, noordelijke Parula, Parula americana	google_translate
n01567879	eng-30-01567879-n	De Grasmus van Wilson, Wilson's blackcap, Wilsonia pusilla	google_translate
n01568132	eng-30-01568132-n	flycatching grasmus	google_translate
n01568720	eng-30-01568720-n	Tijgerzanger, Dendroica tigrina	google_translate
n01568892	eng-30-01568892-n	gele grasmus, gouden grasmus, gele vogel, petechia	google_translate
n01569060	eng-30-01569060-n	Blackburn, Blackburnian grasmus, Dendroica fusca	google_translate
n01569262	eng-30-01569262-n	grasmus Audubon, Audubon grasmus, Dendroica auduboni	google_translate
n01569423	eng-30-01569423-n	mirtezanger, mirte vogel, Dendroica coronata	google_translate
n01569566	eng-30-01569566-n	blackpoll, Dendroica striate	google_translate
n01569836	eng-30-01569836-n	New World-chat, babbelen	google_translate
n01570267	eng-30-01570267-n	tjiftjaf, Seiurus aurocapillus	google_translate
n01570421	eng-30-01570421-n	parkesia	google_translate
n01570676	eng-30-01570676-n	yellowthroat	google_translate
n01571904	eng-30-01571904-n	Nieuwe Wereld wielewaal, American wielewaal, wielewaal	google_translate
n01572328	eng-30-01572328-n	noordelijke Oriole, icterus galbula	google_translate
n01572489	eng-30-01572489-n	Baltimore oriole, Baltimore vogel, hangbird, firebird, Galbula Icterus galbula	google_translate
n01572654	eng-30-01572654-n	Bullock's oriole, Icterus galbula bullockii	google_translate
n01572782	eng-30-01572782-n	boomgaard oriole, icterus Spurius	google_translate
n01573074	eng-30-01573074-n	meadowlark, leeuwerik	google_translate
n01573240	eng-30-01573240-n	witkaakweidespreeuw, Sturnella magna	google_translate
