original	pos	offset	synset_name	lemma
n00452864	n	452864	beagling.n.01	beagling
n00453126	n	453126	coursing.n.01	coursing
n00453313	n	453313	deer_hunting.n.01	deer_hunting
n00453396	n	453396	ducking.n.01	ducking
n00453478	n	453478	fox_hunting.n.01	fox_hunting
n00453935	n	453935	fishing.n.01	fishing
n00454237	n	454237	angling.n.01	angling
n00454395	n	454395	fly-fishing.n.01	fly-fishing
n00454493	n	454493	troll.n.04	troll
n00454624	n	454624	casting.n.03	casting
n00454983	n	454983	fly_casting.n.01	fly_casting
n00455076	n	455076	overcast.n.04	overcast
n00455173	n	455173	surf_casting.n.01	surf_casting
n00456465	n	456465	day_game.n.01	day_game
n00463246	n	463246	athletic_game.n.01	athletic_game
n00463543	n	463543	ice_hockey.n.01	ice_hockey
n00464277	n	464277	tetherball.n.01	tetherball
n00464478	n	464478	water_polo.n.01	water_polo
n00464651	n	464651	outdoor_game.n.01	outdoor_game
n00464894	n	464894	golf.n.01	golf
n00466273	n	466273	professional_golf.n.01	professional_golf
n00466377	n	466377	round_of_golf.n.01	round_of_golf
n00466524	n	466524	medal_play.n.01	medal_play
n00466630	n	466630	match_play.n.01	match_play
n00466712	n	466712	miniature_golf.n.01	miniature_golf
n00466880	n	466880	croquet.n.01	croquet
n00467320	n	467320	quoits.n.01	quoits
n00467536	n	467536	shuffleboard.n.01	shuffleboard
n00467719	n	467719	field_game.n.01	field_game
n00467995	n	467995	field_hockey.n.01	field_hockey
n00468480	n	468480	football.n.01	football
n00469651	n	469651	american_football.n.01	American_football
n00470554	n	470554	professional_football.n.01	professional_football
n00470830	n	470830	hurling.n.01	hurling
n00470966	n	470966	rugby.n.01	rugby
n00471437	n	471437	ball_game.n.01	ball_game
n00474568	n	474568	ball.n.11	ball
n00474657	n	474657	professional_baseball.n.01	professional_baseball
n00474881	n	474881	perfect_game.n.01	perfect_game
n00475014	n	475014	no-hit_game.n.01	no-hit_game
n00475273	n	475273	two-hitter.n.01	two-hitter
n00475403	n	475403	three-hitter.n.01	three-hitter
n00475535	n	475535	four-hitter.n.01	four-hitter
n00475661	n	475661	five-hitter.n.01	five-hitter
n00475787	n	475787	softball.n.02	softball
n00476235	n	476235	stickball.n.01	stickball
n00476389	n	476389	cricket.n.02	cricket
n00477392	n	477392	lacrosse.n.01	lacrosse
n00477639	n	477639	polo.n.02	polo
n00478262	n	478262	soccer.n.01	soccer
n00479076	n	479076	court_game.n.01	court_game
n00479440	n	479440	handball.n.02	handball
n00479616	n	479616	racquetball.n.02	racquetball
n00479887	n	479887	squash.n.03	squash
n00480211	n	480211	volleyball.n.01	volleyball
n00480366	n	480366	jai_alai.n.01	jai_alai
n00480508	n	480508	badminton.n.01	badminton
n00480885	n	480885	battledore.n.02	battledore
n00480993	n	480993	basketball.n.01	basketball
n00481803	n	481803	professional_basketball.n.01	professional_basketball
n00482122	n	482122	netball.n.01	netball
n00482298	n	482298	tennis.n.01	tennis
n00483205	n	483205	professional_tennis.n.01	professional_tennis
n00483313	n	483313	singles.n.02	singles
n00483409	n	483409	singles.n.01	singles
n00483508	n	483508	doubles.n.02	doubles
n00483605	n	483605	doubles.n.01	doubles
n00483705	n	483705	royal_tennis.n.01	royal_tennis
n00483848	n	483848	pallone.n.01	pallone
n00825773	n	825773	judo.n.01	judo
n00887544	n	887544	team_sport.n.01	team_sport
n01314388	n	1314388	pest.n.04	pest
n01314663	n	1314663	critter.n.01	critter
n01314781	n	1314781	creepy-crawly.n.01	creepy-crawly
n01315213	n	1315213	peeper.n.03	peeper
n01315581	n	1315581	poikilotherm.n.01	poikilotherm
n01315805	n	1315805	range_animal.n.01	range_animal
n01316422	n	1316422	scavenger.n.03	scavenger
n01316579	n	1316579	bottom-feeder.n.02	bottom-feeder
n01316949	n	1316949	work_animal.n.01	work_animal
n01317541	n	1317541	domestic_animal.n.01	domestic_animal
n01317813	n	1317813	feeder.n.01	feeder
n01317916	n	1317916	feeder.n.06	feeder
n01318279	n	1318279	hatchling.n.01	hatchling
n01318381	n	1318381	head.n.02	head
n01318894	n	1318894	pet.n.01	pet
n01319001	n	1319001	stayer.n.01	stayer
n01319187	n	1319187	stunt.n.02	stunt
n01319467	n	1319467	marine_animal.n.01	marine_animal
n01321123	n	1321123	hen.n.04	hen
n01321230	n	1321230	male.n.01	male
n01321456	n	1321456	adult.n.02	adult
n01321579	n	1321579	young.n.01	young
n01321770	n	1321770	orphan.n.04	orphan
n01321854	n	1321854	young_mammal.n.01	young_mammal
n01322221	n	1322221	baby.n.06	baby
n01322343	n	1322343	pup.n.01	pup
n01322508	n	1322508	wolf_pup.n.01	wolf_pup
n01322604	n	1322604	puppy.n.01	puppy
n01322685	n	1322685	cub.n.03	cub
n01322898	n	1322898	lion_cub.n.01	lion_cub
n01322983	n	1322983	bear_cub.n.01	bear_cub
n01323068	n	1323068	tiger_cub.n.01	tiger_cub
n01323155	n	1323155	kit.n.03	kit
n01323261	n	1323261	suckling.n.03	suckling
n01323355	n	1323355	sire.n.03	sire
n01323493	n	1323493	dam.n.03	dam
n01323599	n	1323599	thoroughbred.n.03	thoroughbred
n01323781	n	1323781	giant.n.01	giant
n01324610	n	1324610	herbivore.n.01	herbivore
n01324799	n	1324799	insectivore.n.02	insectivore
n01326291	n	1326291	microorganism.n.01	microorganism
n01330126	n	1330126	adenovirus.n.01	adenovirus
n01338685	n	1338685	herpes.n.02	herpes
n01339336	n	1339336	herpes_zoster.n.02	herpes_zoster
n01339801	n	1339801	cytomegalovirus.n.01	cytomegalovirus
n01340014	n	1340014	varicella_zoster_virus.n.01	varicella_zoster_virus
n01340935	n	1340935	reovirus.n.01	reovirus
n01342269	n	1342269	moneran.n.01	moneran
n01350226	n	1350226	bacillus_anthracis.n.01	Bacillus_anthracis
n01350701	n	1350701	yersinia_pestis.n.01	Yersinia_pestis
n01351315	n	1351315	spirillum.n.02	spirillum
n01367772	n	1367772	enteric_bacteria.n.01	enteric_bacteria
n01375204	n	1375204	actinomycete.n.01	actinomycete
n01378545	n	1378545	myxobacteria.n.01	myxobacteria
n01381044	n	1381044	streptococcus.n.01	streptococcus
n01382033	n	1382033	spirochete.n.01	spirochete
n01384164	n	1384164	zooplankton.n.01	zooplankton
n01386182	n	1386182	commensal.n.01	commensal
n01386354	n	1386354	myrmecophile.n.01	myrmecophile
n01389507	n	1389507	protozoan.n.01	protozoan
n01390123	n	1390123	sarcodinian.n.01	sarcodinian
n01395254	n	1395254	ciliate.n.01	ciliate
n01397114	n	1397114	alga.n.01	alga
n01402600	n	1402600	brown_algae.n.01	brown_algae
n01407798	n	1407798	green_algae.n.01	green_algae
n01411450	n	1411450	chlorella.n.01	chlorella
n01415626	n	1415626	eukaryote.n.01	eukaryote
n01421807	n	1421807	sporozoan.n.01	sporozoan
n01438581	n	1438581	loach.n.01	loach
n01439121	n	1439121	cyprinid.n.01	cyprinid
n01439514	n	1439514	carp.n.02	carp
n01440764	n	1440764	tench.n.01	tench
n01441117	n	1441117	dace.n.01	dace
n01441425	n	1441425	shiner.n.04	shiner
n01442710	n	1442710	rudd.n.01	rudd
n01442972	n	1442972	minnow.n.01	minnow
n01443243	n	1443243	gudgeon.n.02	gudgeon
n01443537	n	1443537	goldfish.n.01	goldfish
n01443831	n	1443831	crucian_carp.n.01	crucian_carp
n01444339	n	1444339	electric_eel.n.01	electric_eel
n01444783	n	1444783	catostomid.n.01	catostomid
n01446760	n	1446760	killifish.n.01	killifish
n01448291	n	1448291	swordtail.n.01	swordtail
n01448594	n	1448594	guppy.n.01	guppy
n01448951	n	1448951	topminnow.n.01	topminnow
n01450661	n	1450661	squirrelfish.n.02	squirrelfish
n01453475	n	1453475	boarfish.n.02	boarfish
n01454545	n	1454545	cornetfish.n.01	cornetfish
n01454856	n	1454856	stickleback.n.01	stickleback
n01455778	n	1455778	pipefish.n.01	pipefish
n01457407	n	1457407	shrimpfish.n.01	shrimpfish
n01457852	n	1457852	trumpetfish.n.01	trumpetfish
n01458842	n	1458842	embryo.n.02	embryo
n01459791	n	1459791	fetus.n.01	fetus
n01464844	n	1464844	yolk.n.02	yolk
n01468238	n	1468238	tunicate.n.01	tunicate
n01468712	n	1468712	ascidian.n.01	ascidian
n01469723	n	1469723	salp.n.01	salp
n01471682	n	1471682	vertebrate.n.01	vertebrate
n01472303	n	1472303	amniota.n.01	Amniota
n01473806	n	1473806	aquatic_vertebrate.n.01	aquatic_vertebrate
n01474283	n	1474283	jawless_vertebrate.n.01	jawless_vertebrate
n01480880	n	1480880	holocephalan.n.01	holocephalan
n01482071	n	1482071	elasmobranch.n.01	elasmobranch
n01482330	n	1482330	shark.n.01	shark
n01483021	n	1483021	cow_shark.n.01	cow_shark
n01483830	n	1483830	porbeagle.n.01	porbeagle
n01484097	n	1484097	mako.n.01	mako
n01484850	n	1484850	great_white_shark.n.01	great_white_shark
n01485479	n	1485479	basking_shark.n.01	basking_shark
n01486010	n	1486010	thresher.n.02	thresher
n01486838	n	1486838	nurse_shark.n.01	nurse_shark
n01487506	n	1487506	sand_tiger.n.01	sand_tiger
n01488038	n	1488038	whale_shark.n.01	whale_shark
n01488918	n	1488918	requiem_shark.n.01	requiem_shark
n01489501	n	1489501	bull_shark.n.01	bull_shark
n01489709	n	1489709	sandbar_shark.n.02	sandbar_shark
n01489920	n	1489920	blacktip_shark.n.01	blacktip_shark
n01490112	n	1490112	whitetip_shark.n.02	whitetip_shark
n01490360	n	1490360	dusky_shark.n.01	dusky_shark
n01490670	n	1490670	lemon_shark.n.01	lemon_shark
n01491006	n	1491006	blue_shark.n.01	blue_shark
n01491361	n	1491361	tiger_shark.n.01	tiger_shark
n01491874	n	1491874	dogfish.n.02	dogfish
n01492357	n	1492357	smooth_dogfish.n.01	smooth_dogfish
n01493541	n	1493541	spiny_dogfish.n.01	spiny_dogfish
n01494475	n	1494475	hammerhead.n.03	hammerhead
n01495493	n	1495493	angel_shark.n.01	angel_shark
n01495701	n	1495701	ray.n.07	ray
n01496331	n	1496331	electric_ray.n.01	electric_ray
n01497118	n	1497118	sawfish.n.01	sawfish
n01497738	n	1497738	guitarfish.n.01	guitarfish
n01498041	n	1498041	stingray.n.01	stingray
n01498989	n	1498989	eagle_ray.n.01	eagle_ray
n01500091	n	1500091	manta.n.02	manta
n01501160	n	1501160	skate.n.02	skate
n01503061	n	1503061	bird.n.01	bird
n01503976	n	1503976	dickeybird.n.01	dickeybird
n01504179	n	1504179	fledgling.n.02	fledgling
n01504344	n	1504344	nestling.n.01	nestling
n01514668	n	1514668	cock.n.05	cock
n01514859	n	1514859	hen.n.02	hen
n01515078	n	1515078	night_bird.n.01	night_bird
n01515303	n	1515303	bird_of_passage.n.02	bird_of_passage
n01517565	n	1517565	ratite.n.01	ratite
n01517966	n	1517966	carinate.n.01	carinate
n01518878	n	1518878	ostrich.n.02	ostrich
n01519563	n	1519563	cassowary.n.01	cassowary
n01519873	n	1519873	emu.n.02	emu
n01520576	n	1520576	kiwi.n.04	kiwi
n01521399	n	1521399	rhea.n.03	rhea
n01521756	n	1521756	rhea.n.02	rhea
n01524359	n	1524359	passerine.n.01	passerine
n01524761	n	1524761	nonpasserine_bird.n.01	nonpasserine_bird
n01525720	n	1525720	oscine.n.01	oscine
n01526521	n	1526521	songbird.n.01	songbird
n01527194	n	1527194	accentor.n.01	accentor
n01527617	n	1527617	lark.n.03	lark
n01528396	n	1528396	wagtail.n.01	wagtail
n01528654	n	1528654	pipit.n.01	pipit
n01529672	n	1529672	finch.n.01	finch
n01530439	n	1530439	chaffinch.n.01	chaffinch
n01530575	n	1530575	brambling.n.01	brambling
n01531178	n	1531178	goldfinch.n.02	goldfinch
n01531344	n	1531344	linnet.n.02	linnet
n01531512	n	1531512	siskin.n.01	siskin
n01531811	n	1531811	redpoll.n.02	redpoll
n01531971	n	1531971	redpoll.n.01	redpoll
n01532325	n	1532325	new_world_goldfinch.n.01	New_World_goldfinch
n01532511	n	1532511	pine_siskin.n.01	pine_siskin
n01532829	n	1532829	house_finch.n.01	house_finch
n01533000	n	1533000	purple_finch.n.01	purple_finch
n01533339	n	1533339	canary.n.04	canary
n01533651	n	1533651	serin.n.01	serin
n01533893	n	1533893	crossbill.n.01	crossbill
n01534155	n	1534155	bullfinch.n.02	bullfinch
n01534433	n	1534433	junco.n.01	junco
n01534762	n	1534762	new_world_sparrow.n.01	New_World_sparrow
n01535140	n	1535140	vesper_sparrow.n.01	vesper_sparrow
n01535469	n	1535469	white-throated_sparrow.n.01	white-throated_sparrow
n01535690	n	1535690	white-crowned_sparrow.n.01	white-crowned_sparrow
n01536035	n	1536035	chipping_sparrow.n.01	chipping_sparrow
n01536186	n	1536186	field_sparrow.n.01	field_sparrow
n01536334	n	1536334	tree_sparrow.n.02	tree_sparrow
n01536644	n	1536644	song_sparrow.n.01	song_sparrow
n01536780	n	1536780	swamp_sparrow.n.01	swamp_sparrow
n01537134	n	1537134	bunting.n.02	bunting
n01537544	n	1537544	indigo_bunting.n.01	indigo_bunting
n01537895	n	1537895	ortolan.n.01	ortolan
n01538059	n	1538059	reed_bunting.n.01	reed_bunting
n01538200	n	1538200	yellowhammer.n.02	yellowhammer
n01538630	n	1538630	snow_bunting.n.01	snow_bunting
n01538955	n	1538955	honeycreeper.n.02	honeycreeper
n01539573	n	1539573	sparrow.n.01	sparrow
n01539925	n	1539925	english_sparrow.n.01	English_sparrow
n01540090	n	1540090	tree_sparrow.n.01	tree_sparrow
n01540233	n	1540233	grosbeak.n.01	grosbeak
n01540566	n	1540566	evening_grosbeak.n.01	evening_grosbeak
n01540832	n	1540832	hawfinch.n.01	hawfinch
n01541102	n	1541102	pine_grosbeak.n.01	pine_grosbeak
n01541386	n	1541386	cardinal.n.04	cardinal
n01541760	n	1541760	pyrrhuloxia.n.01	pyrrhuloxia
n01541922	n	1541922	towhee.n.01	towhee
n01542786	n	1542786	weaver.n.02	weaver
n01543175	n	1543175	baya.n.01	baya
n01543383	n	1543383	whydah.n.01	whydah
n01543632	n	1543632	java_sparrow.n.01	Java_sparrow
n01544208	n	1544208	grassfinch.n.01	grassfinch
n01544704	n	1544704	honeycreeper.n.01	honeycreeper
n01545574	n	1545574	lyrebird.n.01	lyrebird
n01546039	n	1546039	scrubbird.n.01	scrubbird
n01546506	n	1546506	broadbill.n.04	broadbill
n01547832	n	1547832	new_world_flycatcher.n.01	New_World_flycatcher
n01548301	n	1548301	kingbird.n.01	kingbird
n01548492	n	1548492	arkansas_kingbird.n.01	Arkansas_kingbird
n01548694	n	1548694	cassin's_kingbird.n.01	Cassin's_kingbird
n01548865	n	1548865	eastern_kingbird.n.01	eastern_kingbird
n01549053	n	1549053	grey_kingbird.n.01	grey_kingbird
n01549430	n	1549430	pewee.n.01	pewee
n01549886	n	1549886	phoebe.n.03	phoebe
n01550172	n	1550172	vermillion_flycatcher.n.01	vermillion_flycatcher
n01550761	n	1550761	cotinga.n.01	cotinga
n01551711	n	1551711	manakin.n.03	manakin
n01552813	n	1552813	ovenbird.n.02	ovenbird
n01553142	n	1553142	antbird.n.01	antbird
n01554448	n	1554448	woodhewer.n.01	woodhewer
n01555004	n	1555004	pitta.n.01	pitta
n01555305	n	1555305	scissortail.n.01	scissortail
n01555809	n	1555809	old_world_flycatcher.n.01	Old_World_flycatcher
n01557185	n	1557185	thrush.n.03	thrush
n01557962	n	1557962	missel_thrush.n.01	missel_thrush
n01558149	n	1558149	song_thrush.n.01	song_thrush
n01558307	n	1558307	fieldfare.n.01	fieldfare
n01558461	n	1558461	redwing.n.02	redwing
n01558594	n	1558594	blackbird.n.02	blackbird
n01558765	n	1558765	ring_ouzel.n.01	ring_ouzel
n01558993	n	1558993	robin.n.02	robin
n01559160	n	1559160	clay-colored_robin.n.01	clay-colored_robin
n01559477	n	1559477	hermit_thrush.n.01	hermit_thrush
n01559639	n	1559639	veery.n.01	veery
n01559804	n	1559804	wood_thrush.n.01	wood_thrush
n01560105	n	1560105	nightingale.n.01	nightingale
n01560280	n	1560280	thrush_nightingale.n.01	thrush_nightingale
n01560636	n	1560636	old_world_chat.n.01	Old_World_chat
n01560793	n	1560793	stonechat.n.01	stonechat
n01560935	n	1560935	whinchat.n.01	whinchat
n01561452	n	1561452	redstart.n.02	redstart
n01561732	n	1561732	wheatear.n.01	wheatear
n01562014	n	1562014	bluebird.n.02	bluebird
n01562265	n	1562265	robin.n.01	robin
n01562451	n	1562451	bluethroat.n.01	bluethroat
n01563128	n	1563128	warbler.n.02	warbler
n01563449	n	1563449	gnatcatcher.n.01	gnatcatcher
n01563746	n	1563746	kinglet.n.01	kinglet
n01563945	n	1563945	goldcrest.n.01	goldcrest
n01564217	n	1564217	ruby-crowned_kinglet.n.01	ruby-crowned_kinglet
n01564394	n	1564394	old_world_warbler.n.01	Old_World_warbler
n01564773	n	1564773	blackcap.n.04	blackcap
n01564914	n	1564914	greater_whitethroat.n.01	greater_whitethroat
n01565078	n	1565078	lesser_whitethroat.n.01	lesser_whitethroat
n01565345	n	1565345	wood_warbler.n.02	wood_warbler
n01565599	n	1565599	sedge_warbler.n.01	sedge_warbler
n01565930	n	1565930	wren_warbler.n.01	wren_warbler
n01566207	n	1566207	tailorbird.n.01	tailorbird
n01566645	n	1566645	babbler.n.02	babbler
n01567133	n	1567133	new_world_warbler.n.01	New_World_warbler
n01567678	n	1567678	parula_warbler.n.01	parula_warbler
n01567879	n	1567879	wilson's_warbler.n.01	Wilson's_warbler
n01568132	n	1568132	flycatching_warbler.n.01	flycatching_warbler
n01568720	n	1568720	cape_may_warbler.n.01	Cape_May_warbler
n01568892	n	1568892	yellow_warbler.n.01	yellow_warbler
n01569060	n	1569060	blackburn.n.01	Blackburn
n01569262	n	1569262	audubon's_warbler.n.01	Audubon's_warbler
n01569423	n	1569423	myrtle_warbler.n.01	myrtle_warbler
n01569566	n	1569566	blackpoll.n.01	blackpoll
n01569836	n	1569836	new_world_chat.n.01	New_World_chat
n01570267	n	1570267	ovenbird.n.01	ovenbird
n01570421	n	1570421	water_thrush.n.01	water_thrush
n01570676	n	1570676	yellowthroat.n.01	yellowthroat
n01571904	n	1571904	new_world_oriole.n.01	New_World_oriole
n01572328	n	1572328	northern_oriole.n.01	northern_oriole
n01572489	n	1572489	baltimore_oriole.n.01	Baltimore_oriole
n01572654	n	1572654	bullock's_oriole.n.01	Bullock's_oriole
n01572782	n	1572782	orchard_oriole.n.01	orchard_oriole
n01573074	n	1573074	meadowlark.n.01	meadowlark
n01573240	n	1573240	eastern_meadowlark.n.01	eastern_meadowlark
n01573360	n	1573360	western_meadowlark.n.01	western_meadowlark
n01573627	n	1573627	cacique.n.01	cacique
n01573898	n	1573898	bobolink.n.01	bobolink
n01574045	n	1574045	new_world_blackbird.n.01	New_World_blackbird
n01574390	n	1574390	grackle.n.02	grackle
n01574801	n	1574801	rusty_blackbird.n.01	rusty_blackbird
n01575117	n	1575117	cowbird.n.01	cowbird
n01575401	n	1575401	red-winged_blackbird.n.01	red-winged_blackbird
n01575745	n	1575745	old_world_oriole.n.01	Old_World_oriole
n01576695	n	1576695	starling.n.01	starling
n01577035	n	1577035	common_starling.n.01	common_starling
n01577659	n	1577659	myna.n.01	myna
n01577941	n	1577941	crested_myna.n.01	crested_myna
n01578180	n	1578180	hill_myna.n.01	hill_myna
n01578575	n	1578575	corvine_bird.n.01	corvine_bird
n01579028	n	1579028	crow.n.01	crow
n01579260	n	1579260	raven.n.01	raven
n01579410	n	1579410	rook.n.02	rook
n01579578	n	1579578	jackdaw.n.01	jackdaw
n01579729	n	1579729	chough.n.01	chough
n01580077	n	1580077	jay.n.02	jay
n01580772	n	1580772	new_world_jay.n.01	New_World_jay
n01581166	n	1581166	canada_jay.n.01	Canada_jay
n01581730	n	1581730	nutcracker.n.03	nutcracker
n01582220	n	1582220	magpie.n.01	magpie
n01582856	n	1582856	australian_magpie.n.01	Australian_magpie
n01583209	n	1583209	butcherbird.n.02	butcherbird
n01583495	n	1583495	currawong.n.01	currawong
n01583828	n	1583828	piping_crow.n.01	piping_crow
n01584225	n	1584225	wren.n.02	wren
n01584695	n	1584695	winter_wren.n.01	winter_wren
n01584853	n	1584853	house_wren.n.01	house_wren
n01585121	n	1585121	marsh_wren.n.01	marsh_wren
n01585715	n	1585715	rock_wren.n.02	rock_wren
n01586020	n	1586020	carolina_wren.n.01	Carolina_wren
n01586374	n	1586374	cactus_wren.n.01	cactus_wren
n01586941	n	1586941	mockingbird.n.01	mockingbird
n01587526	n	1587526	catbird.n.02	catbird
n01587834	n	1587834	thrasher.n.02	thrasher
n01588431	n	1588431	new_zealand_wren.n.01	New_Zealand_wren
n01589286	n	1589286	creeper.n.03	creeper
n01591005	n	1591005	european_nuthatch.n.01	European_nuthatch
n01591123	n	1591123	red-breasted_nuthatch.n.01	red-breasted_nuthatch
n01591301	n	1591301	white-breasted_nuthatch.n.01	white-breasted_nuthatch
n01591697	n	1591697	titmouse.n.01	titmouse
n01592084	n	1592084	chickadee.n.01	chickadee
n01592257	n	1592257	black-capped_chickadee.n.01	black-capped_chickadee
n01592387	n	1592387	tufted_titmouse.n.01	tufted_titmouse
n01592540	n	1592540	carolina_chickadee.n.01	Carolina_chickadee
n01592694	n	1592694	blue_tit.n.01	blue_tit
n01593028	n	1593028	bushtit.n.01	bushtit
n01593553	n	1593553	verdin.n.01	verdin
n01594004	n	1594004	fairy_bluebird.n.01	fairy_bluebird
n01594372	n	1594372	swallow.n.03	swallow
n01594787	n	1594787	barn_swallow.n.01	barn_swallow
n01594968	n	1594968	cliff_swallow.n.01	cliff_swallow
n01595168	n	1595168	tree_swallow.n.02	tree_swallow
n01595450	n	1595450	white-bellied_swallow.n.01	white-bellied_swallow
n01595624	n	1595624	martin.n.05	martin
n01595974	n	1595974	house_martin.n.01	house_martin
n01596273	n	1596273	bank_martin.n.01	bank_martin
n01596608	n	1596608	purple_martin.n.01	purple_martin
n01597022	n	1597022	wood_swallow.n.01	wood_swallow
n01597336	n	1597336	tanager.n.01	tanager
n01597737	n	1597737	scarlet_tanager.n.01	scarlet_tanager
n01597906	n	1597906	western_tanager.n.01	western_tanager
n01598074	n	1598074	summer_tanager.n.01	summer_tanager
n01598271	n	1598271	hepatic_tanager.n.01	hepatic_tanager
n01598588	n	1598588	shrike.n.01	shrike
n01598988	n	1598988	butcherbird.n.01	butcherbird
n01599159	n	1599159	european_shrike.n.01	European_shrike
n01599269	n	1599269	northern_shrike.n.01	northern_shrike
n01599388	n	1599388	white-rumped_shrike.n.01	white-rumped_shrike
n01599556	n	1599556	loggerhead_shrike.n.01	loggerhead_shrike
n01599741	n	1599741	migrant_shrike.n.01	migrant_shrike
n01600085	n	1600085	bush_shrike.n.01	bush_shrike
n01600657	n	1600657	bowerbird.n.01	bowerbird
n01601694	n	1601694	water_ouzel.n.01	water_ouzel
n01602630	n	1602630	vireo.n.01	vireo
n01602832	n	1602832	red-eyed_vireo.n.01	red-eyed_vireo
n01603000	n	1603000	solitary_vireo.n.01	solitary_vireo
n01603152	n	1603152	blue-headed_vireo.n.01	blue-headed_vireo
n01603600	n	1603600	waxwing.n.01	waxwing
n01603812	n	1603812	cedar_waxwing.n.01	cedar_waxwing
n01603953	n	1603953	bohemian_waxwing.n.01	Bohemian_waxwing
n01604330	n	1604330	bird_of_prey.n.01	bird_of_prey
n01604968	n	1604968	accipitriformes.n.01	Accipitriformes
n01605630	n	1605630	hawk.n.01	hawk
n01606097	n	1606097	eyas.n.01	eyas
n01606177	n	1606177	tiercel.n.01	tiercel
n01606522	n	1606522	goshawk.n.01	goshawk
n01606672	n	1606672	sparrow_hawk.n.02	sparrow_hawk
n01606809	n	1606809	cooper's_hawk.n.01	Cooper's_hawk
n01607429	n	1607429	redtail.n.01	redtail
n01607600	n	1607600	rough-legged_hawk.n.01	rough-legged_hawk
n01607812	n	1607812	red-shouldered_hawk.n.01	red-shouldered_hawk
n01607962	n	1607962	buzzard.n.02	buzzard
n01608265	n	1608265	honey_buzzard.n.01	honey_buzzard
n01608432	n	1608432	kite.n.04	kite
n01608814	n	1608814	black_kite.n.01	black_kite
n01609062	n	1609062	swallow-tailed_kite.n.01	swallow-tailed_kite
n01609391	n	1609391	white-tailed_kite.n.01	white-tailed_kite
n01609751	n	1609751	harrier.n.03	harrier
n01609956	n	1609956	marsh_harrier.n.01	marsh_harrier
